Item ident;Supplier code;Supplier dock;Plant code;Plant dock;Product code;Package code;Number of items;Length;Width;Height;Weight;Nesting height;Stackability code;Forced orientation;Earliest arrival time;Latest arrival time;Inventory cost;Max stackability
0090018000_03072022000001;0062069400;;0090018000;X0;762432908R;CON-S-0130;3;780;570;478;81,720;47;GERB--3195_780_570;widthwise;202208190000;202208222025;2;4
0090018000_03072022000002;0062069400;;0090018000;X0;663606500R;CON-S-0130;3;780;570;478;96,256;47;GERB--3195_780_570;widthwise;202207200000;202207212025;3;4
0090018000_03072022000003;0029918200;;0090018000;X1;550206080R;SLI---0770;6;1200;1000;975;577,800;45;GERB--1213_1200_1000;none;202207130000;202207140603;7;100
0090018000_03072022000004;0028091900;;0090018000;X4;403007072R;ENS---0014;10;1400;1225;1160;278,500;0;GERB--7976_1400_1225;none;202208250000;202208261400;15;100
0090018000_03072022000005;0062069400;;0090018000;X0;745326954R;CON-S-0130;5;780;570;478;100,960;47;GERB--3195_780_570;widthwise;202207080000;202207112025;1;4
0090018000_03072022000006;0029938000;;0090018000;X3;272704463R;ECM---5565;16;1400;1200;1450;179,400;45;GERB--0475_1400_1200;none;202208230000;202208241020;10;100
0090018000_03072022000007;0062069400;;0090018000;X0;852480062R;SLI---1271;1;1600;1200;975;1471,600;45;GERB--1613_1600_1200;none;202207130000;202207142025;26;100
0090018000_03072022000008;0062069400;;0090018000;X0;764131108R;SLI---1101;1;1900;1200;750;713,620;45;GERB--0109_1900_1200;none;202208100000;202208112025;13;100
0090018000_03072022000009;0029938000;;0090018000;X3;272707927R;ECM---5565;12;1400;1200;1450;179,400;45;GERB--0475_1400_1200;none;202208080000;202208091020;10;100
0090018000_03072022000010;0062060800;;0090018000;X2;172022957R;ECM---0559;8;1600;1200;1350;303,920;45;GERB--1613_1600_1200;none;202208010000;202208021800;5;100
0090018000_03072022000011;0028091900;;0090018000;X4;403008854R;ENS---0015;11;1400;1225;1160;317,000;0;GERB--7976_1400_1225;none;202207190000;202207201400;16;100
0090018000_03072022000012;0062069400;;0090018000;X0;763571615R;SLI---0601;1;1200;1000;750;227,528;45;GERB--1213_1200_1000;none;202208190000;202208222025;5;100
0090018000_03072022000013;0062069400;;0090018000;X0;901323145R;CON-S-0130;1;780;570;478;101,520;47;GERB--3195_780_570;widthwise;202208170000;202208182025;3;4
0090018000_03072022000014;0062069400;;0090018000;X0;625189279R;CON-S-0130;1;780;570;478;270,080;47;GERB--3195_780_570;widthwise;202208050000;202208082025;6;4
0090018000_03072022000015;0025439300;;0090018000;X0;802102463R;SLI---1200;3;1600;1200;930;454,873;45;GERB--1613_1600_1200;none;202208190000;202208221735;8;100
0090018000_03072022000016;0062069400;;0090018000;X0;8201677033;SLI---1200;3;1600;1200;930;547,300;45;GERB--1613_1600_1200;none;202207290000;202208012025;1;100
0090018000_03072022000017;0062060800;;0090018000;X2;172039318R;ECM---0559;6;1600;1200;1350;303,920;45;GERB--1613_1600_1200;none;202208170000;202208181430;5;100
0090018000_03072022000018;0062069400;;0090018000;X0;8201677033;SLI---1200;4;1600;1200;930;547,300;45;GERB--1613_1600_1200;none;202207130000;202207142025;1;100
0090018000_03072022000019;0062060800;;0090018000;X2;172039318R;ECM---0559;2;1600;1200;1350;303,920;45;GERB--1613_1600_1200;none;202207260000;202207271800;5;100
0090018000_03072022000020;0002893800;;0090018000;X1;769235146R;SLI---0770;1;1200;1000;975;246,000;45;GERB--1213_1200_1000;none;202207220000;202207251600;4;100
0090018000_03072022000021;0062069400;;0090018000;X0;8201677103;ECM---1934;2;1200;1000;545;729,500;45;GERB--1213_1200_1000;none;202207180000;202207192025;2;100
0090018000_03072022000022;0062060800;;0090018000;X2;172022957R;ECM---0559;1;1600;1200;1350;303,920;45;GERB--1613_1600_1200;none;202208080000;202208091430;5;100
0090018000_03072022000023;0062069400;;0090018000;X0;776507388R;SLI---0601;3;1200;1000;750;229,880;45;GERB--1213_1200_1000;none;202208260000;202208292025;4;100
0090018000_03072022000024;0062069400;;0090018000;X0;8201590963;CON-S-0130;1;780;570;478;160,560;47;GERB--3195_780_570;widthwise;202208050000;202208082025;1;4
0090018000_03072022000025;0029938000;;0090018000;X3;272704463R;ECM---5565;12;1400;1200;1450;179,400;45;GERB--0475_1400_1200;none;202207220000;202207251020;10;100
0090018000_03072022000026;0062069400;;0090018000;X0;625191617R;CON-S-0130;1;780;570;478;269,320;47;GERB--3195_780_570;widthwise;202207180000;202207192025;6;4
0090018000_03072022000027;0062060800;;0090018000;X2;172022957R;ECM---0559;7;1600;1200;1350;303,920;45;GERB--1613_1600_1200;none;202207150000;202207180915;5;100
0090018000_03072022000028;0029938000;;0090018000;X3;272707927R;ECM---5565;31;1400;1200;1450;179,400;45;GERB--0475_1400_1200;none;202207220000;202207251020;10;100
0090018000_03072022000029;0062060800;;0090018000;X2;172038007R;ECM---5712;17;1600;1200;1350;207,720;45;GERB--1613_1600_1200;none;202208120000;202208150915;5;100
0090018000_03072022000030;0062069400;;0090018000;X0;843408889R;SLI---0601;1;1200;1000;750;267,800;45;GERB--1213_1200_1000;none;202208170000;202208182025;6;100
0090018000_03072022000031;0029938000;;0090018000;X3;272704463R;ECM---5565;32;1400;1200;1450;179,400;45;GERB--0475_1400_1200;none;202208080000;202208091020;10;100
0090018000_03072022000032;0062069400;;0090018000;X0;8201745175;SLI---1200;11;1600;1200;930;438,400;45;GERB--1613_1600_1200;none;202208030000;202208042025;1;100
0090018000_03072022000033;0029938000;;0090018000;X3;272704463R;ECM---5565;35;1400;1200;1450;179,400;45;GERB--0475_1400_1200;none;202208190000;202208221020;10;100
0090018000_03072022000034;0062060800;;0090018000;X2;172022957R;ECM---0559;8;1600;1200;1350;303,920;45;GERB--1613_1600_1200;none;202208290000;202208301800;5;100
0090018000_03072022000035;0062069400;;0090018000;X0;763568061R;SLI---0601;1;1200;1000;750;227,528;45;GERB--1213_1200_1000;none;202207290000;202208012025;5;100
0090018000_03072022000036;0062060800;;0090018000;X2;172031693R;ECM---5712;1;1600;1200;1350;207,720;45;GERB--1613_1600_1200;none;202208250000;202208261430;5;100
0090018000_03072022000037;0025439300;;0090018000;X0;822766844R;SLI---0760;1;1200;1000;930;324,100;45;GERB--1213_1200_1000;none;202207150000;202207181735;7;100
0090018000_03072022000038;0002893800;;0090018000;X1;823310159R;SLI---0770;4;1200;1000;975;165,375;45;GERB--1213_1200_1000;none;202209020000;202209051600;3;100
0090018000_03072022000039;0002893800;;0090018000;X1;768613981R;SLI---1200;1;1600;1200;930;277,828;45;GERB--1613_1600_1200;none;202207220000;202207251600;8;100
0090018000_03072022000040;0062060800;;0090018000;X2;172038007R;ECM---5712;2;1600;1200;1350;207,720;45;GERB--1613_1600_1200;none;202207110000;202207120915;5;100
0090018000_03072022000041;0062069400;;0090018000;X0;901336133R;CON-S-0130;1;780;570;478;101,520;47;GERB--3195_780_570;widthwise;202208030000;202208042025;3;4
0090018000_03072022000042;0062069400;;0090018000;X0;663606500R;CON-S-0130;4;780;570;478;96,256;47;GERB--3195_780_570;widthwise;202208030000;202208042025;3;4
0090018000_03072022000043;0029918200;;0090018000;X1;550206080R;SLI---0770;8;1200;1000;975;577,800;45;GERB--1213_1200_1000;none;202207290000;202208010603;7;100
