Item ident;Supplier code;Supplier dock;Plant code;Plant dock;Product code;Package code;Number of items;Length;Width;Height;Weight;Nesting height;Stackability code;Forced orientation;Earliest arrival time;Latest arrival time;Inventory cost;Max stackability
0090014400_03072022000001;0011130601;;0090014400;ILN;554B47231R;SLI---0770;5;1200;1000;975;710,000;45;GERB--1213_1200_1000;none;202208170000;202208201600;8;100
0090014400_03072022000002;0011130700;;0090014400;S01;551967663R;SLI---2112;1;1206;1010;385;144,600;0;GERB--0528_1206_1010;none;202208080000;202208111445;51;100
0090014400_03072022000003;0011130601;;0090014400;ILN;554B40348R;SLI---0770;1;1200;1000;975;716,400;45;GERB--1213_1200_1000;none;202208120000;202208161600;6;100
0090014400_03072022000004;0011130700;;0090014400;S01;551979060R;SLI---2112;1;1206;1010;385;128,950;0;GERB--0528_1206_1010;none;202208220000;202208251445;34;100
0090014400_03072022000005;0061861700;;0090014400;S01;329414168R;SLI---2112;1;1206;1010;384;322,400;0;GERB--0528_1206_1010;none;202208090000;202208121200;21;100
0090014400_03072022000006;0011130700;;0090014400;S01;551962060R;SLI---2112;1;1206;1010;385;46,500;0;GERB--0528_1206_1010;none;202207270000;202207301445;40;100
0090014400_03072022000007;0090012500;PCH1412;0090014400;ILN;110107489R;MFM---0448;4;1200;1000;975;261,074;45;GERB--1213_1200_1000;none;202208060000;202208100100;18;100
0090014400_03072022000008;0061878701;;0090014400;ILN;321014203R;SLI---1200;1;1600;1200;930;480,880;45;GERB--1613_1600_1200;none;202208230000;202208262200;10;100
0090014400_03072022000009;0024727100;;0090014400;K02;120410390R;ECA---0021;1;1200;1000;345;45,810;0;GERB--3551_1200_1000;none;202208130000;202208170100;688;100
0090014400_03072022000010;0011146100;;0090014400;K02;302057069R;SLI---0770;2;1200;1000;975;810,840;45;GERB--1213_1200_1000;none;202208040000;202208051100;25;100
0090014400_03072022000011;0011579300;;0090014400;S01;365311674R;SLI---0770;2;1200;1000;975;344,000;45;GERB--1213_1200_1000;none;202208020000;202208051200;9;100
0090014400_03072022000012;0011130700;;0090014400;S01;462625174R;SLI---2112;1;1206;1010;385;51,050;0;GERB--0528_1206_1010;none;202207220000;202207261445;33;100
0090014400_03072022000013;0061861700;;0090014400;S01;551801733R;SLI---2112;1;1206;1010;584;300,920;0;GERB--0528_1206_1010;none;202207140000;202207201200;16;100
0090014400_03072022000014;0011130100;;0090014400;S01;544039318R;SLI---0770;3;1200;1000;975;372,000;45;GERB--1213_1200_1000;none;202208050000;202208091200;3;100
0090014400_03072022000015;0024727100;;0090014400;K02;120466740R;ECA---0021;1;1200;1000;345;21,870;0;GERB--3551_1200_1000;none;202208200000;202208240100;210;100
0090014400_03072022000016;0011129700;;0090014400;K02;100099749R;SLI---2112;1;1206;1010;385;127,700;0;GERB--0528_1206_1010;none;202208270000;202208291100;20;100
0090014400_03072022000017;0024039300;;0090014400;S01;463162675R;SLI---2112;1;1206;1010;584;141,200;0;GERB--0528_1206_1010;none;202208060000;202208101330;120;100
0090014400_03072022000018;0027125700;;0090014400;G01;208A02909R;SLI---0770;11;1200;1000;975;255,000;45;GERB--1213_1200_1000;none;202208110000;202208151100;249;100
0090014400_03072022000019;0011579300;;0090014400;S01;365307648R;SLI---0770;1;1200;1000;975;344,000;45;GERB--1213_1200_1000;none;202208060000;202208101200;9;100
0090014400_03072022000020;0025389200;;0090014400;ILN;140014PM0A;SFDA--9775;25;1200;1000;975;201,840;45;GERB--1213_1200_1000;none;202207190000;202207222030;11;100
0090014400_03072022000021;0061861700;;0090014400;S01;328095490R;SLI---2112;1;1206;1010;384;310,400;0;GERB--0528_1206_1010;none;202208020000;202208051200;42;100
0090014400_03072022000022;0011130802;;0090014400;K02;208174154R;SLI---2112;1;1206;1010;1181;627,950;0;GERB--0528_1206_1010;none;202208030000;202208061600;19;100
0090014400_03072022000023;0025050301;;0090014400;G01;410003053R;SLI---0770;9;1200;1000;975;937,512;45;GERB--1213_1200_1000;none;202208230000;202208260700;30;100
0090014400_03072022000024;0011130700;;0090014400;S01;551979060R;SLI---2112;1;1206;1010;385;160,250;0;GERB--0528_1206_1010;none;202208010000;202208041445;68;100
0090014400_03072022000025;0011130700;;0090014400;S01;462616111R;SLI---2112;1;1206;1010;585;260,400;0;GERB--0528_1206_1010;none;202208240000;202208271445;26;100
0090014400_03072022000026;0002744302;;0090014400;G01;440105245R;SLI---0770;6;1200;1000;975;395,160;45;GERB--1213_1200_1000;none;202208180000;202208221400;13;100
0090014400_03072022000027;0011130601;;0090014400;ILN;555922213R;SLI---0770;1;1200;1000;975;537,000;45;GERB--1213_1200_1000;none;202208120000;202208162030;6;100
0090014400_03072022000028;0090012500;PCH0905;0090014400;ILN;6040110049;CON-S-0130;14;780;570;478;152,200;47;GERB--3195_780_570;widthwise;202207300000;202208030100;3;2
0090014400_03072022000029;0061861700;;0090014400;S01;551801733R;SLI---2112;1;1206;1010;584;300,920;0;GERB--0528_1206_1010;none;202208040000;202208081200;16;100
0090014400_03072022000030;0011130700;;0090014400;S01;462627465R;SLI---2112;1;1206;1010;785;359,900;0;GERB--0528_1206_1010;none;202208150000;202208181445;39;100
0090014400_03072022000031;0011130601;;0090014400;ILN;550324537R;SLI---0770;1;1200;1000;975;981,000;45;GERB--1213_1200_1000;none;202208220000;202208251600;6;100
0090014400_03072022000032;0027830202;;0090014400;ILN;648945022R;SLI---0770;16;1200;1000;975;153,600;45;GERB--1213_1200_1000;none;202208040000;202208081600;2;100
0090014400_03072022000033;0011130601;;0090014400;ILN;555931211R;SLI---0770;1;1200;1000;975;537,000;45;GERB--1213_1200_1000;none;202208220000;202208252030;6;100
0090014400_03072022000034;0090012500;PCH0905;0090014400;G01;555259346R;CON-S-0130;1;780;570;478;366,000;47;GERB--3195_780_570;widthwise;202208200000;202208240100;5;2
0090014400_03072022000035;0002870400;;0090014400;ILN;111109493R;SLI---0770;2;1200;1000;975;248,112;45;GERB--1213_1200_1000;none;202207140000;202207142200;5;100
0090014400_03072022000036;0000037402;;0090014400;G01;150004889R;MFM---0896;20;1220;1020;1111;149,920;22;GERB--0135_1220_1020;none;202208110000;202208151000;8;100
0090014400_03072022000037;0011130601;;0090014400;ILN;555938029R;SLI---0770;1;1200;1000;975;611,000;45;GERB--1213_1200_1000;none;202207290000;202208022030;7;100
0090014400_03072022000038;0011210403;;0090014400;K02;140569023R;SLI---2112;1;1206;1010;985;169,240;0;GERB--0528_1206_1010;none;202207190000;202207201100;275;100
0090014400_03072022000039;0028132600;;0090014400;S01;410109513R;SFDA--9348;6;1200;1000;975;885,000;45;GERB--1213_1200_1000;none;202207230000;202207251100;26;100
0090014400_03072022000040;0025050301;;0090014400;G01;410103642R;SLI---0770;9;1200;1000;975;937,512;45;GERB--1213_1200_1000;none;202207300000;202208030700;30;100
0090014400_03072022000041;0011130100;;0090014400;S01;544P80626R;SLI---0770;1;1200;1000;975;587,600;45;GERB--1213_1200_1000;none;202207180000;202207211445;8;100
0090014400_03072022000042;0001689201;;0090014400;G01;440102370R;SLI---0770;8;1200;1000;975;720,000;45;GERB--1213_1200_1000;none;202208110000;202208151000;71;1
0090014400_03072022000043;0011130700;;0090014400;S01;462627465R;SLI---2112;1;1206;1010;985;473,400;0;GERB--0528_1206_1010;none;202208250000;202208291445;39;100
0090014400_03072022000044;0025389200;;0090014400;ILN;140014PM0A;SFDA--9775;40;1200;1000;975;201,840;45;GERB--1213_1200_1000;none;202208240000;202208272030;11;100
0090014400_03072022000045;0061878701;;0090014400;ILN;321016454R;SLI---1200;9;1600;1200;930;482,480;45;GERB--1613_1600_1200;none;202208170000;202208202200;10;100
0090014400_03072022000046;0011130802;;0090014400;K02;208175801R;SLI---2112;1;1206;1010;681;521,000;0;GERB--0528_1206_1010;none;202207180000;202207211600;41;100
0090014400_03072022000047;0011130100;;0090014400;S01;544P80626R;SLI---0770;1;1200;1000;975;587,600;45;GERB--1213_1200_1000;none;202207260000;202207291200;8;100
0090014400_03072022000048;0011579300;;0090014400;S01;365301369R;SLI---0770;2;1200;1000;975;288,500;45;GERB--1213_1200_1000;none;202207140000;202207201200;7;100
0090014400_03072022000049;0002744302;;0090014400;G01;440005784R;SLI---0770;3;1200;1000;975;436,000;45;GERB--1213_1200_1000;none;202208250000;202208291400;14;100
0090014400_03072022000050;0011130802;;0090014400;K02;208A08987R;SLI---0770;32;1200;1000;975;231,000;45;GERB--1213_1200_1000;none;202207140000;202207192030;65;100
0090014400_03072022000051;0011130100;;0090014400;S01;545056389R;SLI---0601;1;1200;1000;750;518,200;45;GERB--1213_1200_1000;none;202208180000;202208221200;5;100
0090014400_03072022000052;0011130700;;0090014400;S01;462616111R;SLI---2112;1;1206;1010;785;380,900;0;GERB--0528_1206_1010;none;202208170000;202208201445;39;100
0090014400_03072022000053;0061878701;;0090014400;ILN;304018781R;SLI---1200;1;1600;1200;930;503,233;45;GERB--1613_1600_1200;none;202208020000;202208052200;15;100
0090014400_03072022000054;0011130700;;0090014400;S01;551979060R;SLI---2112;1;1206;1010;385;113,300;0;GERB--0528_1206_1010;none;202207140000;202207191445;102;100
0090014400_03072022000055;0011136100;;0090014400;ILN;122018866R;SLI---0601;11;1200;1000;750;981,280;45;GERB--1213_1200_1000;none;202208170000;202208202030;12;2
0090014400_03072022000056;0011136100;;0090014400;ILN;8200410321;CON-S-0130;1;780;570;478;536,000;47;GERB--3195_780_570;widthwise;202208240000;202208272030;8;4
0090014400_03072022000057;0000037402;;0090014400;G01;150004905R;CAR-S*2991;11;1140;980;860;126,920;0;GERB--7391_1140_980;none;202207180000;202207211000;19;100
0090014400_03072022000058;0011130100;;0090014400;S01;544080408R;SLI---0770;3;1200;1000;975;410,040;45;GERB--1213_1200_1000;none;202208180000;202208221200;4;100
0090014400_03072022000059;0011130700;;0090014400;S01;544147739R;SLI---2112;1;1206;1010;1185;569,400;0;GERB--0528_1206_1010;none;202208190000;202208231445;20;100
0090014400_03072022000060;0025389200;;0090014400;ILN;140034635R;SLI---0770;3;1200;1000;975;185,490;45;GERB--1213_1200_1000;none;202208190000;202208232030;4;100
0090014400_03072022000061;0024039300;;0090014400;S01;463159745R;SLI---2112;1;1206;1010;385;81,300;0;GERB--0528_1206_1010;none;202208060000;202208101330;152;100
0090014400_03072022000062;0028132600;;0090014400;S01;410005595R;SFDA--9348;4;1200;1000;975;885,000;45;GERB--1213_1200_1000;none;202207140000;202207181100;26;100
0090014400_03072022000063;0026065700;;0090014400;ILN;8200514555;ETM---4434;3;1275;1014;840;1139,000;140;GERB--0051_1275_1014;none;202208060000;202208102030;11;3
0090014400_03072022000064;0027830202;;0090014400;ILN;648945022R;SLI---0770;19;1200;1000;975;153,600;45;GERB--1213_1200_1000;none;202207140000;202207191600;2;100
