Item ident;Supplier code;Supplier dock;Plant code;Plant dock;Product code;Package code;Number of items;Length;Width;Height;Weight;Nesting height;Stackability code;Forced orientation;Earliest arrival time;Latest arrival time;Inventory cost;Max stackability
0090016900_03072022000001;0001607201;;0090016900;GRD1;555110270R;ECM---5083;17;2350;1320;1000;871,120;45;GERB--1533_2350_1320;none;202207080000;202207131310;24;100
0090016900_03072022000002;0024099000;;0090016900;169GB-10;8200729487;CON-S-0130;2;780;570;478;75,600;47;GERB--3195_780_570;widthwise;202207220000;202207272320;2;4
0090016900_03072022000003;0021185900;;0090016900;GRD1;201005105R;SLI---0901;48;1600;1200;750;185,008;45;GERB--1613_1600_1200;none;202209120000;202209150001;19;100
0090016900_03072022000004;0011129500;;0090016900;GRE1;868848280R;SLI---2112;1;1206;1010;1185;636,900;0;GERB--0528_1206_1010;none;202209060000;202209121140;28;100
0090016900_03072022000005;0002771200;;0090016900;GRD1;320108045R;ECM---6638;18;1600;1200;870;608,600;45;GERB--0211_1600_1200;none;202209120000;202209151525;60;100
0090016900_03072022000006;0027902200;;0090016900;GRE1;215141229R;SLI---2112;1;1206;1010;1185;411,300;0;GERB--0528_1206_1010;none;202207270000;202208290950;16;100
0090016900_03072022000007;0001607201;;0090016900;GRD1;555110236R;ECM---5083;11;2350;1320;1000;865,100;45;GERB--1533_2350_1320;none;202207110000;202207151310;24;100
0090016900_03072022000008;0002573203;;0090016900;169GB-10;764964116R;SLI---0601;2;1200;1000;750;683,480;45;GERB--1213_1200_1000;none;202207290000;202208311020;6;100
0090016900_03072022000009;0040446200;;0090016900;GRD9;768F30006R;SLI---2112;1;1206;1010;1151;116,616;0;GERB--0528_1206_1010;none;202209090000;202209142200;5;100
0090016900_03072022000010;0025867601;;0090016900;GRE1;208S91507R;ECA---0021;1;1200;1000;345;23,430;0;GERB--3551_1200_1000;none;202209200000;202209231720;57;100
0090016900_03072022000011;0007908406;;0090016900;169GB-10;985Q20296R;CON-S-0130;5;780;570;478;103,500;47;GERB--3195_780_570;widthwise;202208310000;202209051850;2;4
0090016900_03072022000012;0001607201;;0090016900;GRD1;8200758068;ETM---0600;1;1170;1000;760;306,680;30;GERB--0003_1170_1000;none;202209060000;202209091310;6;3
0090016900_03072022000013;0029350212;;0090016900;GRD7;769007607R;PAL---0545;1;2200;900;550;816,000;0;GERB--6106_2200_900;none;202207250000;202207280800;17;100
0090016900_03072022000014;0009500600;;0090016900;GRD1;490017833R;ECM---6613;3;1910;1200;1490;593,000;45;GERB--1350_1910_1200;none;202207210000;202207260620;33;100
0090016900_03072022000015;0090019100;GR G0;0090016900;169GB-10;764133495R;SLI---1200;3;1600;1200;930;457,868;45;GERB--1613_1600_1200;none;202208290000;202209010910;8;100
0090016900_03072022000016;0024099000;;0090016900;169GB-10;8200740477;CON-S-0130;1;780;570;478;111,000;47;GERB--3195_780_570;widthwise;202209060000;202209092320;3;4
0090016900_03072022000017;0007908421;;0090016900;169GB-10;743430003R;CON-S-0130;1;780;570;478;146,160;47;GERB--3195_780_570;widthwise;202207290000;202208310300;3;4
0090016900_03072022000018;0002417607;;0090016900;GRD1;562109904R;SLI---0120;1;780;570;475;162,000;43;GERB--3195_780_570;none;202207080000;202207131550;8;100
0090016900_03072022000019;0040446200;;0090016900;GRE1;768F30005R;SLI---2112;1;1206;1010;1151;109,576;0;GERB--0528_1206_1010;none;202207070000;202207122100;5;100
0090016900_03072022000020;0023676305;;0090016900;GRD9;850224392R;ECM---6686;8;1900;1200;1380;277,050;45;GERB--1390_1900_1200;none;202209140000;202209210530;16;100
0090016900_03072022000021;0028681300;;0090016900;GRD9;8200677130;SLI---2112;1;1206;1010;1181;181,800;0;GERB--0528_1206_1010;none;202207070000;202207121320;14;100
0090016900_03072022000022;0002573203;;0090016900;169GB-10;8200657250;CON-S-0130;1;780;570;478;351,525;47;GERB--3195_780_570;widthwise;202207120000;202207180620;4;4
0090016900_03072022000023;0002573203;;0090016900;169GB-10;8200657251;SLI---0601;1;1200;1000;750;671,384;45;GERB--1213_1200_1000;none;202207150000;202207201020;9;100
0090016900_03072022000024;0025746700;;0090016900;GRD1;543207065R;SLI---0770;4;1200;1000;975;732,440;45;GERB--1213_1200_1000;none;202207260000;202208302340;39;100
0090016900_03072022000025;0029350205;;0090016900;GRD1;749282212R;SLI---0760;3;1200;1000;930;454,600;45;GERB--1213_1200_1000;none;202207200000;202207271000;8;100
0090016900_03072022000026;0007908406;;0090016900;169GB-30;8200657035;SLI---0760;3;1200;1000;930;372,784;45;GERB--1213_1200_1000;none;202209050000;202209081850;3;100
0090016900_03072022000027;0028106700;;0090016900;GRE1;687501519R;SLI---2112;3;1206;1010;1085;131,300;0;GERB--0528_1206_1010;none;202207250000;202207280800;15;100
0090016900_03072022000028;0027599200;;0090016900;GRD1;215015685R;SLI---0770;5;1200;1000;975;196,040;45;GERB--1213_1200_1000;none;202209020000;202209081140;9;100
0090016900_03072022000029;0003782011;;0090016900;GRD9;165008632R;SLI---0770;24;1200;1000;975;160,248;45;GERB--1213_1200_1000;none;202207190000;202207221010;3;100
0090016900_03072022000030;0040446200;;0090016900;GRD9;908510003R;SLI---2112;4;1206;1010;1151;115,688;0;GERB--0528_1206_1010;none;202207150000;202207202200;4;100
0090016900_03072022000031;0027902200;;0090016900;GRE1;215149187R;SLI---2112;1;1206;1010;385;78,900;0;GERB--0528_1206_1010;none;202209050000;202209080840;3;100
0090016900_03072022000032;0024267400;;0090016900;GRE1;175126107R;SLI---2112;1;1206;1010;1085;108,800;0;GERB--0528_1206_1010;none;202209050000;202209121220;57;100
0090016900_03072022000033;0007908421;;0090016900;169GB-10;765G11039R;SLI---0601;4;1200;1000;750;266,320;45;GERB--1213_1200_1000;none;202209200000;202209240300;4;100
0090016900_03072022000034;0023934607;;0090016900;GRD7;8200734778;SFDA--9009;1;1200;1000;975;192,920;45;GERB--1213_1200_1000;none;202207110000;202207151720;6;100
0090016900_03072022000035;0021506700;;0090016900;GRD1;201005602R;SLI---1101;8;1900;1200;750;304,504;45;GERB--0109_1900_1200;none;202207260000;202207290920;36;100
0090016900_03072022000036;0000239407;;0090016900;GRE1;777880692R;SLI---2112;1;1206;1010;385;96,820;0;GERB--0528_1206_1010;none;202209090000;202209162340;45;100
0090016900_03072022000037;0025869802;;0090016900;GRD2;214814881R;ECM---3367;15;1200;1000;1450;236,600;45;GERB--0156_1200_1000;none;202209020000;202209070950;8;100
0090016900_03072022000038;0040446200;;0090016900;GRD9;828200262R;SFDA--6615;1;1600;1200;930;197,512;45;GERB--1613_1600_1200;none;202207130000;202207192200;3;100
0090016900_03072022000039;0001607201;;0090016900;GRD1;555115839R;ECM---5083;5;2350;1320;1000;826,040;45;GERB--1533_2350_1320;none;202209050000;202209080200;24;100
0090016900_03072022000040;0028058401;;0090016900;GRD9;465105948R;SLI---0770;33;1200;1000;975;228,600;45;GERB--1213_1200_1000;none;202207210000;202207261420;5;100
0090016900_03072022000041;0023676305;;0090016900;GRD9;850220011R;ECM---6686;2;1900;1200;1380;272,500;45;GERB--1390_1900_1200;none;202207180000;202207250530;2;100
0090016900_03072022000042;0026242400;;0090016900;GRE1;511772276R;SLI---2112;1;1206;1010;385;154,900;0;GERB--0528_1206_1010;none;202207220000;202207270720;28;100
0090016900_03072022000043;0029350212;;0090016900;GRD9;829A06640R;SLI---0760;3;1200;1000;930;334,000;45;GERB--1213_1200_1000;none;202209050000;202209080800;5;100
