Item ident;Supplier code;Supplier dock;Plant code;Plant dock;Product code;Package code;Number of items;Length;Width;Height;Weight;Nesting height;Stackability code;Forced orientation;Earliest arrival time;Latest arrival time;Inventory cost;Max stackability
0090012500_03072022000001;0090014400;EXP;0090012500;GR3021;8201714460;SLI---0760;7;1200;1000;930;836,200;45;GERB--1213_1200_1000;none;202208240000;202208291430;31;100
0090012500_03072022000002;0002590706;;0090012500;GR1511;161266089R;SLI---2112;1;1206;1010;385;123,100;0;GERB--0528_1206_1010;none;202207250000;202207280030;28;100
0090012500_03072022000003;0026540200;;0090012500;GR3021;8201076708;SLI---0760;7;1200;1000;930;154,960;45;GERB--1213_1200_1000;none;202207150000;202207201500;2;100
0090012500_03072022000004;0024989702;;0090012500;GR1601;544F83283R;SLI---2112;1;1206;1010;285;169,950;0;GERB--0528_1206_1010;none;202209020000;202209070011;51;100
0090012500_03072022000005;0061190700;;0090012500;GR1601;562306014R;SLI---0601;2;1200;1000;750;971,400;45;GERB--1213_1200_1000;none;202207060000;202207111630;19;1
0090012500_03072022000006;0027170501;;0090012500;GR1701;545602788R;SLI---2112;3;1206;1010;681;587,400;0;GERB--0528_1206_1010;none;202209060000;202209091830;25;2
0090012500_03072022000007;0009500407;;0090012500;GR1801;400140481R;SLI---0601;5;1200;1000;750;895,000;45;GERB--1213_1200_1000;none;202208310000;202209050930;15;100
0090012500_03072022000008;0002487200;;0090012500;GR3022;122828736R;ETM---4434;2;1275;1014;840;1658,600;140;GERB--0051_1275_1014;none;202209060000;202209130030;17;3
0090012500_03072022000009;0025050301;;0090012500;GR1801;410014348R;SLI---0770;2;1200;1000;975;932,760;45;GERB--1213_1200_1000;none;202208310000;202209051145;31;100
0090012500_03072022000010;0091017700;177GRAX;0090012500;GR3021;110104938R;SLI---0770;4;1200;1000;975;537,120;45;GERB--1213_1200_1000;none;202208260000;202208310945;13;100
0090012500_03072022000011;0026403600;;0090012500;GR3022;122012719R;MFM---0862;24;1200;1000;1080;965,010;45;GERB--1213_1200_1000;none;202209060000;202209091745;21;100
0090012500_03072022000012;0025050301;;0090012500;GR1801;410015117R;SLI---0770;6;1200;1000;975;933,192;45;GERB--1213_1200_1000;none;202207220000;202207271145;33;100
0090012500_03072022000013;0027731900;;0090012500;GR0903;111502549R;SLI---2112;11;1206;1010;1185;221,400;0;GERB--0528_1206_1010;none;202209010000;202209060540;15;100
0090012500_03072022000014;0002496900;;0090012500;GR1402;130518192R;SLI---2112;1;1206;1010;985;429,880;0;GERB--0528_1206_1010;none;202207210000;202207260540;273;100
0090012500_03072022000015;0026540200;;0090012500;GR3021;165001429R;SLI---0760;5;1200;1000;930;155,440;45;GERB--1213_1200_1000;none;202208310000;202209051500;2;100
0090012500_03072022000016;0023261021;;0090012500;GR3021;237967309R;ECA---0021;3;1200;1000;445;109,260;0;GERB--3551_1200_1000;none;202207120000;202207151840;60;2
0090012500_03072022000017;0090016500;1GRA;0090012500;GR3021;150102617R;CAR-S*2991;1;1140;980;860;269,272;0;GERB--7391_1140_980;none;202209120000;202209151230;29;100
0090012500_03072022000018;0024935704;;0090012500;GR0903;132657536R;SLI---0770;29;1200;1000;975;168,960;45;GERB--1213_1200_1000;none;202207190000;202207221500;4;100
0090012500_03072022000019;0024935704;;0090012500;GR3021;8200494284;SLI---2112;1;1206;1010;1185;248,900;0;GERB--0528_1206_1010;none;202208310000;202209051500;31;100
0090012500_03072022000020;0027690200;;0090012500;GR1601;6040109823;SLI---2112;1;1206;1010;483;458,000;0;GERB--0528_1206_1010;none;202208230000;202208270200;36;100
0090012500_03072022000021;0027125700;;0090012500;GR1511;208A07026R;SLI---0770;1;1200;1000;975;238,710;45;GERB--1213_1200_1000;none;202207260000;202207270730;194;100
0090012500_03072022000022;0002590706;;0090012500;GR1511;144C24285R;SLI---2112;5;1206;1010;1185;597,150;0;GERB--0528_1206_1010;none;202207250000;202207280030;28;100
0090012500_03072022000023;0023261021;;0090012500;GR1511;224332734R;ECA---0021;24;1200;1000;485;134,520;0;GERB--3551_1200_1000;none;202209080000;202209131840;22;2
0090012500_03072022000024;0091017700;177GRAX;0090012500;GR1511;130209220R;SFDA--9054;5;1200;1000;975;701,624;45;GERB--1213_1200_1000;none;202208240000;202208290945;50;100
0090012500_03072022000025;0027125700;;0090012500;GR1511;208A01380R;SLI---0770;59;1200;1000;975;238,500;45;GERB--1213_1200_1000;none;202207250000;202207260730;225;100
0090012500_03072022000026;0026403600;;0090012500;GR3022;122012719R;MFM---0862;24;1200;1000;1080;965,010;45;GERB--1213_1200_1000;none;202208300000;202209021745;21;100
0090012500_03072022000027;0025050301;;0090012500;GR1801;410101820R;SLI---0770;8;1200;1000;975;933,192;45;GERB--1213_1200_1000;none;202207130000;202207131145;33;100
0090012500_03072022000028;0024935704;;0090012500;GR3021;8200961787;SLI---0760;9;1200;1000;930;193,240;45;GERB--1213_1200_1000;none;202207220000;202207271500;5;100
0090012500_03072022000029;0024935704;;0090012500;GR3021;8200961787;SLI---0760;4;1200;1000;930;193,240;45;GERB--1213_1200_1000;none;202209130000;202209161500;5;100
0090012500_03072022000030;0023261021;;0090012500;GR1511;224332734R;ECA---0021;25;1200;1000;485;134,520;0;GERB--3551_1200_1000;none;202207210000;202207261840;22;2
0090012500_03072022000031;0011152722;;0090012500;GR1511;240756741R;SLI---2112;1;1206;1010;385;82,550;0;GERB--0528_1206_1010;none;202208260000;202208310730;124;100
0090012500_03072022000032;0091017700;177GRAX;0090012500;GR3021;110107681R;SLI---0770;8;1200;1000;975;537,120;45;GERB--1213_1200_1000;none;202208310000;202209050945;13;100
0090012500_03072022000033;0011146100;;0090012500;GR0903;302057872R;SLI---0770;17;1200;1000;975;770,760;45;GERB--1213_1200_1000;none;202208290000;202209011650;34;100
0090012500_03072022000034;0011498900;;0090012500;GR1601;6040191967;CON-S-0130;1;780;570;478;299,100;47;GERB--3195_780_570;widthwise;202209060000;202209091630;7;4
0090012500_03072022000035;0091017700;177GRAX;0090012500;GR1511;130209220R;SFDA--9054;4;1200;1000;975;701,624;45;GERB--1213_1200_1000;none;202207190000;202207220945;50;100
0090012500_03072022000036;0029333003;;0090012500;GR1511;144102778R;SFDA--9639;36;1200;1000;975;426,000;45;GERB--1213_1200_1000;none;202208310000;202209051430;80;100
0090012500_03072022000037;0011738300;;0090012500;GR1511;161200428R;SLI---2112;11;1206;1010;1185;424,900;0;GERB--0528_1206_1010;none;202207200000;202207252300;85;100
0090012500_03072022000038;0025389200;;0090012500;GR0903;140039673R;SFDA--9548;38;1200;1000;975;178,000;45;GERB--1213_1200_1000;none;202207180000;202207251840;7;100
0090012500_03072022000039;0011498900;;0090012500;GR1601;555927663R;CON-S-0130;3;780;570;478;342,000;47;GERB--3195_780_570;widthwise;202208230000;202208261630;8;4
0090012500_03072022000040;0011146100;;0090012500;GR0903;302058046R;SLI---0770;1;1200;1000;975;967,080;45;GERB--1213_1200_1000;none;202208310000;202209051650;40;100
0090012500_03072022000041;0027376000;;0090012500;GR1601;550339344R;SLI---0770;2;1200;1000;975;814,500;45;GERB--1213_1200_1000;none;202209060000;202209131750;10;100
0090012500_03072022000042;0002487200;;0090012500;GR3022;122825612R;ETM---4434;7;1275;1014;840;1785,300;140;GERB--0051_1275_1014;none;202208300000;202209060030;20;3
0090012500_03072022000043;0008443308;;0090012500;GR1511;226901685R;ECA---0021;6;1200;1000;1145;113,500;0;GERB--3551_1200_1000;none;202208250000;202208301840;75;1
0090012500_03072022000044;0026540200;;0090012500;GR3021;8201076708;SLI---0760;3;1200;1000;930;154,960;45;GERB--1213_1200_1000;none;202209060000;202209091500;2;100
0090012500_03072022000045;0009500407;;0090012500;GR1801;400159776R;SLI---0601;24;1200;1000;750;895,000;45;GERB--1213_1200_1000;none;202207280000;202207280930;15;100
0090012500_03072022000046;0011146100;;0090012500;GR0903;302058046R;SLI---0770;1;1200;1000;975;967,080;45;GERB--1213_1200_1000;none;202209010000;202209061650;40;100
0090012500_03072022000047;0024935704;;0090012500;GR3021;223203369R;SLI---0770;1;1200;1000;975;162,000;45;GERB--1213_1200_1000;none;202207080000;202207131500;21;100
0090012500_03072022000048;0002496900;;0090012500;GR1402;130518192R;SLI---2112;1;1206;1010;785;327,260;0;GERB--0528_1206_1010;none;202209130000;202209161630;273;100
0090012500_03072022000049;0011152722;;0090012500;GR1511;240756741R;SLI---2112;1;1206;1010;385;229,900;0;GERB--0528_1206_1010;none;202208260000;202208310730;310;100
0090012500_03072022000050;0002744302;;0090012500;GR1801;440008703R;SLI---0770;8;1200;1000;975;453,000;45;GERB--1213_1200_1000;none;202207130000;202207181230;19;2
0090012500_03072022000051;0091017700;177GRAX;0090012500;GR1511;130207006R;SFDA--9054;4;1200;1000;975;685,880;45;GERB--1213_1200_1000;none;202208260000;202208310945;44;100
0090012500_03072022000052;0011146100;;0090012500;GR3021;123103853R;SLI---0601;40;1200;1000;750;754,600;45;GERB--1213_1200_1000;none;202207260000;202207261650;30;100
0090012500_03072022000053;0002590706;;0090012500;GR1511;175B12335R;SLI---2112;3;1206;1010;1185;307,275;0;GERB--0528_1206_1010;none;202207250000;202207280030;21;100
0090012500_03072022000054;0027690200;;0090012500;GR1601;548309158R;SLI---2112;1;1206;1010;1380;897,800;0;GERB--0528_1206_1010;none;202208230000;202208270200;18;100
0090012500_03072022000055;0042529900;;0090012500;GR1801;430184420R;SLI---0601;1;1200;1000;750;987,500;45;GERB--1213_1200_1000;none;202208260000;202208310745;12;100
0090012500_03072022000056;0090014400;EXP;0090012500;GR3021;8201714460;SLI---0760;6;1200;1000;930;836,200;45;GERB--1213_1200_1000;none;202209140000;202209191430;31;100
0090012500_03072022000057;0011738300;;0090012500;GR3021;161206381R;SLI---2112;1;1206;1010;1185;442,900;0;GERB--0528_1206_1010;none;202209050000;202209082300;75;100
0090012500_03072022000058;0027690200;;0090012500;GR1601;758878257R;SLI---2112;1;1206;1010;285;148,700;0;GERB--0528_1206_1010;none;202207260000;202207300200;23;100
0090012500_03072022000059;0029333003;;0090012500;GR1511;144102778R;SFDA--9639;35;1200;1000;975;426,000;45;GERB--1213_1200_1000;none;202209070000;202209121430;80;100
0090012500_03072022000060;0009500407;;0090012500;GR1801;400140481R;SLI---0601;10;1200;1000;750;895,000;45;GERB--1213_1200_1000;none;202209010000;202209060930;15;100
0090012500_03072022000061;0040979700;;0090012500;GR1511;165763262R;SLI---2112;21;1206;1010;1085;122,390;0;GERB--0528_1206_1010;none;202207270000;202208221630;20;100
0090012500_03072022000062;0061190700;;0090012500;GR1601;562309477R;SLI---0601;1;1200;1000;750;990,600;45;GERB--1213_1200_1000;none;202207270000;202208221630;19;1
0090012500_03072022000063;0091017700;177GRAX;0090012500;GR1511;130207006R;SFDA--9054;5;1200;1000;975;685,880;45;GERB--1213_1200_1000;none;202209050000;202209080945;44;100
0090012500_03072022000064;0026403600;;0090012500;GR3022;122012719R;MFM---0862;24;1200;1000;1080;965,010;45;GERB--1213_1200_1000;none;202207150000;202207201745;21;100
0090012500_03072022000065;0011498900;;0090012500;GR1601;8200496217;SLI---2112;1;1206;1010;780;831,200;0;GERB--0528_1206_1010;none;202208250000;202208300540;24;100
0090012500_03072022000066;0025389200;;0090012500;GR3021;140039107R;SFDA--9548;27;1200;1000;975;173,920;45;GERB--1213_1200_1000;none;202209050000;202209121840;9;100
0090012500_03072022000067;0007960504;;0090012500;GR1601;551104427R;SLI---0601;26;1200;1000;750;894,600;45;GERB--1213_1200_1000;none;202209050000;202209082045;11;100
0090012500_03072022000068;0002487200;;0090012500;GR3022;122828736R;ETM---4434;1;1275;1014;840;1658,600;140;GERB--0051_1275_1014;none;202209020000;202209090030;17;3
0090012500_03072022000069;0011498900;;0090012500;GR1601;555934492R;CON-S-0130;3;780;570;478;342,000;47;GERB--3195_780_570;widthwise;202207190000;202207221630;8;4
0090012500_03072022000070;0025050301;;0090012500;GR1801;410015117R;SLI---0770;6;1200;1000;975;933,192;45;GERB--1213_1200_1000;none;202209090000;202209141145;33;100
0090012500_03072022000071;0027690200;;0090012500;GR1601;6040109823;SLI---2112;1;1206;1010;483;458,000;0;GERB--0528_1206_1010;none;202209130000;202209170200;36;100
0090012500_03072022000072;0026367200;;0090012500;GR0903;111116195R;SLI---0770;44;1200;1000;975;225,560;45;GERB--1213_1200_1000;none;202207280000;202208251545;5;100
0090012500_03072022000073;0002590706;;0090012500;GR1511;144C27482R;SLI---2112;1;1206;1010;1185;542,900;0;GERB--0528_1206_1010;none;202209050000;202209080030;45;100
0090012500_03072022000074;0002590706;;0090012500;GR1511;123331947R;SLI---2112;1;1206;1010;285;124,700;0;GERB--0528_1206_1010;none;202209050000;202209080030;51;100
0090012500_03072022000075;0024935704;;0090012500;GR0903;132657536R;SLI---0770;59;1200;1000;975;168,960;45;GERB--1213_1200_1000;none;202208240000;202208291500;4;100
0090012500_03072022000076;0008443308;;0090012500;GR1511;224011985R;ECA---0021;1;1200;1000;244;30,900;0;GERB--3551_1200_1000;none;202209080000;202209131840;161;1
0090012500_03072022000077;0009500407;;0090012500;GR1801;400140481R;SLI---0601;5;1200;1000;750;895,000;45;GERB--1213_1200_1000;none;202209070000;202209120930;15;100
0090012500_03072022000078;0026540200;;0090012500;GR3021;165001429R;SLI---0760;10;1200;1000;930;155,440;45;GERB--1213_1200_1000;none;202207060000;202207111500;2;100
0090012500_03072022000079;0002590706;;0090012500;GR1511;208173296R;SLI---2112;2;1206;1010;681;703,900;0;GERB--0528_1206_1010;none;202207180000;202207210030;21;100
0090012500_03072022000080;0002744302;;0090012500;GR1801;440103828R;SLI---0770;9;1200;1000;975;453,000;45;GERB--1213_1200_1000;none;202207130000;202207181230;19;2
0090012500_03072022000081;0024935704;;0090012500;GR3021;8200961787;SLI---0760;5;1200;1000;930;193,240;45;GERB--1213_1200_1000;none;202209090000;202209141500;5;100
