Supplier code;Supplier loading order;Supplier dock;Supplier dock loading order;Plant code;Plant dock;Plant dock loading order;Product code;Arrival time;Id truck;Length;Width;Height;Max weight;Stack with multiple docks;Max density;Max weight on the bottom item in stacks;Cost;EMmm;EMmr;CM;CJfm;CJfc;CJfh;EM;EJhr;EJcr;EJeh
0091017700;1;177GRAX;1;0090012500;GR1511;1;130209220R;202207200945;P201437201;13500;2440;2600;24000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0091017700;1;177GRAX;1;0090012500;GR1511;1;130207006R;202207200945;P201437201;13500;2440;2600;24000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0091017700;1;177GRAX;1;0090012500;GR3021;2;110107681R;202207200945;P201437201;13500;2440;2600;24000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0091017700;1;177GRAX;1;0090012500;GR1511;1;130200782R;202207200945;P201437201;13500;2440;2600;24000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0091017700;1;177GRAX;1;0090012500;GR3021;2;110104938R;202207200945;P201437201;13500;2440;2600;24000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0011152722;1;;1;0090012500;GR1511;1;240756741R;202207200730;P201405601;13500;2440;3000;24000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0002487200;1;;1;0090012500;GR1801;1;402065288R;202209191840;P262437301;13500;2440;2600;24000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0002487200;1;;1;0090012500;GR1801;1;432062811R;202209191840;P262437301;13500;2440;2600;24000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0024989702;1;;1;0090012500;GR1601;1;544F83283R;202207130011;P194402601;13500;2440;2600;24000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0024989702;1;;1;0090012500;GR1601;1;751847497R;202207130011;P194402601;13500;2440;2600;24000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0029333003;1;;1;0090012500;GR1511;1;144102778R;202207281430;P209434903;13500;2440;2900;24000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0027170501;1;;1;0090012500;GR1701;1;8200437334;202209161830;P259430701;13500;2440;2600;24000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0027170501;1;;1;0090012500;GR1701;1;545602788R;202209161830;P259430701;13500;2440;2600;24000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0025050301;1;;1;0090012500;GR1801;1;410014348R;202207271145;P208417901;13500;2440;2600;24000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0025050301;1;;1;0090012500;GR1801;1;410006865R;202207271145;P208417901;13500;2440;2600;24000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0025050301;1;;1;0090012500;GR1801;1;410015117R;202207271145;P208417901;13500;2440;2600;24000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0025050301;1;;1;0090012500;GR1801;1;410103708R;202207271145;P208417901;13500;2440;2600;24000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
