Item ident;Supplier code;Supplier dock;Plant code;Plant dock;Product code;Package code;Number of items;Length;Width;Height;Weight;Nesting height;Stackability code;Forced orientation;Earliest arrival time;Latest arrival time;Inventory cost;Max stackability
0090016500_03072022000001;0040145700;;0090016500;3GRA;304019125R;SLI---1200;33;1600;1200;930;486,928;45;GERB--1613_1600_1200;widthwise;202207040000;202207071730;14;100
0090016500_03072022000002;0011419800;;0090016500;1GRA;110172092R;SLI---1200;17;1600;1200;930;492,900;45;GERB--1613_1600_1200;widthwise;202207270000;202208221630;18;100
0090016500_03072022000003;0002801804;;0090016500;3GRA;304013092R;SLI---1200;3;1600;1200;930;457,549;45;GERB--1613_1600_1200;widthwise;202208220000;202208251100;11;100
0090016500_03072022000004;0011711300;;0090016500;1GRA;323712327R;SLI---0130;3;800;600;560;432,500;42;GERB--0588_800_600;none;202209120000;202209150800;8;100
0090016500_03072022000005;0011419800;;0090016500;1GRA;110175081R;SLI---1200;1;1600;1200;930;533,732;45;GERB--1613_1600_1200;widthwise;202207220000;202207271630;16;100
0090016500_03072022000006;0002515600;;0090016500;1GRA;150122762R;SLI---2112;1;1206;1010;1185;532,300;0;GERB--0528_1206_1010;none;202208310000;202208311830;17;100
0090016500_03072022000007;0011711300;;0090016500;1GRA;322B63220R;SLI---0130;5;800;600;560;437,320;42;GERB--0588_800_600;none;202209060000;202209090800;8;100
0090016500_03072022000008;0005915200;;0090016500;1GRA;8200345084;SLI---2112;1;1206;1010;285;22,230;0;GERB--0528_1206_1010;none;202207290000;202208241500;35;100
0090016500_03072022000009;0002496900;;0090016500;1GRA;8200767156;SLI---0760;1;1200;1000;930;408,400;45;GERB--1213_1200_1000;none;202208220000;202208221100;12;100
0090016500_03072022000010;0027830400;;0090016500;1GRA;322010609R;ETM---4434;7;1275;1014;840;1153,800;140;GERB--0051_1275_1014;widthwise;202208260000;202208311600;21;3
0090016500_03072022000011;0011711300;;0090016500;1GRA;8200848464;CON-S-0130;5;780;570;478;474,000;47;GERB--3195_780_570;widthwise;202209060000;202209090800;6;4
0090016500_03072022000012;0011419800;;0090016500;3GRA;321016887R;SLI---1200;8;1600;1200;930;374,020;45;GERB--1613_1600_1200;widthwise;202208220000;202208251200;9;100
0090016500_03072022000013;0011895401;;0090016500;1GRA;381011337R;ETM---4434;9;1275;1014;840;1175,500;140;GERB--0051_1275_1014;widthwise;202207120000;202207151430;20;3
0090016500_03072022000014;0027830500;;0090016500;1GRA;130216552R;CON-S-0130;2;780;570;478;303,800;47;GERB--3195_780_570;widthwise;202209010000;202209061600;18;4
0090016500_03072022000015;0011711300;;0090016500;1GRA;323706194R;SLI---0130;2;800;600;560;438,000;42;GERB--0588_800_600;none;202208250000;202208300800;9;100
0090016500_03072022000016;0011711300;;0090016500;1GRA;323724393R;SLI---0130;2;800;600;560;428,000;42;GERB--0588_800_600;none;202208250000;202208300800;8;100
0090016500_03072022000017;0000037402;;0090016500;1GRA;150772888R;PAL-S-0022;1;1200;800;350;138,160;0;GERB--3737_1200_800;none;202209060000;202209091500;33;1
0090016500_03072022000018;0011711300;;0090016500;1GRA;150437954R;CON-S-0130;3;780;570;478;144,875;47;GERB--3195_780_570;widthwise;202207190000;202207220800;4;4
0090016500_03072022000019;0027830400;;0090016500;1GRA;322419778R;SLI---0130;7;800;600;560;437,320;42;GERB--0588_800_600;none;202207260000;202207291600;8;100
0090016500_03072022000020;0027830400;;0090016500;1GRA;322419487R;ETM---4434;3;1275;1014;840;1683,500;140;GERB--0051_1275_1014;widthwise;202208300000;202209021600;28;3
0090016500_03072022000021;0011711300;;0090016500;1GRA;322512524R;SLI---0130;8;800;600;560;438,340;42;GERB--0588_800_600;none;202207120000;202207150800;8;100
0090016500_03072022000022;0002801804;;0090016500;1GRA;110178980R;SLI---1200;13;1600;1200;930;467,960;45;GERB--1613_1600_1200;widthwise;202207150000;202207201100;19;100
0090016500_03072022000023;0011419800;;0090016500;1GRA;110172092R;SLI---1200;18;1600;1200;930;492,900;45;GERB--1613_1600_1200;widthwise;202209120000;202209151630;18;100
0090016500_03072022000024;0027830400;;0090016500;1GRA;322410780R;SLI---0130;4;800;600;560;397,120;42;GERB--0588_800_600;none;202207210000;202207261600;8;100
0090016500_03072022000025;0000037402;;0090016500;1GRA;150478409R;ECA---0370;8;800;600;574;392,000;0;GERB--3543_800_600;none;202207120000;202207151500;28;1
0090016500_03072022000026;0040909900;;0090016500;3GRA;304019125R;SLI---1200;9;1600;1200;930;486,928;45;GERB--1613_1600_1200;widthwise;202207150000;202207201830;14;100
0090016500_03072022000027;0011711300;;0090016500;1GRA;323736989R;SLI---0130;3;800;600;560;433,170;42;GERB--0588_800_600;none;202207200000;202207251100;7;100
0090016500_03072022000028;0002801804;;0090016500;3GRA;304016090R;SLI---1200;4;1600;1200;930;523,792;45;GERB--1613_1600_1200;widthwise;202209010000;202209061100;15;100
0090016500_03072022000029;0005915200;;0090016500;1GRA;111132479R;SLI---2112;1;1206;1010;1085;178,550;0;GERB--0528_1206_1010;none;202207130000;202207131500;27;100
0090016500_03072022000030;0040909900;;0090016500;3GRA;321019956R;SLI---1200;3;1600;1200;930;403,585;45;GERB--1613_1600_1200;widthwise;202208230000;202208261830;10;100
0090016500_03072022000031;0011711300;;0090016500;1GRA;323712327R;SLI---0130;3;800;600;560;432,500;42;GERB--0588_800_600;none;202209080000;202209130800;8;100
0090016500_03072022000032;0041848300;;0090016500;1GRA;321091974R;SLI---2112;1;1206;1010;483;94,100;0;GERB--0528_1206_1010;none;202208260000;202208311830;30;100
0090016500_03072022000033;0011711300;;0090016500;1GRA;322B15159R;SLI---0130;3;800;600;560;437,525;42;GERB--0588_800_600;none;202208310000;202209050800;8;100
0090016500_03072022000034;0002801804;;0090016500;3GRA;304015686R;SLI---1200;13;1600;1200;930;453,922;45;GERB--1613_1600_1200;widthwise;202207220000;202207271100;11;100
0090016500_03072022000035;0027830400;;0090016500;1GRA;322419778R;SLI---0130;6;800;600;560;437,320;42;GERB--0588_800_600;none;202208300000;202209021600;8;100
0090016500_03072022000036;0011711300;;0090016500;1GRA;322B63220R;SLI---0130;2;800;600;560;437,320;42;GERB--0588_800_600;none;202207110000;202207141100;8;100
0090016500_03072022000037;0011711300;;0090016500;1GRA;322B63220R;SLI---0130;3;800;600;560;437,320;42;GERB--0588_800_600;none;202207150000;202207200800;8;100
0090016500_03072022000038;0040909900;;0090016500;3GRA;304019125R;SLI---1200;12;1600;1200;930;486,928;45;GERB--1613_1600_1200;widthwise;202209060000;202209091830;14;100
0090016500_03072022000039;0002515600;;0090016500;1GRA;150159239R;SLI---2112;2;1206;1010;1185;596,700;0;GERB--0528_1206_1010;none;202209050000;202209051830;29;100
0090016500_03072022000040;0011711300;;0090016500;1GRA;130214374R;CON-S-0130;2;780;570;478;204,000;47;GERB--3195_780_570;widthwise;202207260000;202207290800;4;4
0090016500_03072022000041;0090012500;PCH3025;0090016500;1GRA;135020196R;SLI---1200;9;1600;1200;930;142,000;45;GERB--1613_1600_1200;widthwise;202207190000;202207220600;16;100
0090016500_03072022000042;0040909900;;0090016500;3GRA;321019956R;SLI---1200;3;1600;1200;930;403,585;45;GERB--1613_1600_1200;widthwise;202207220000;202207271830;10;100
0090016500_03072022000043;0040145700;;0090016500;3GRA;304019125R;SLI---1200;24;1600;1200;930;486,928;45;GERB--1613_1600_1200;widthwise;202207270000;202208221900;14;100
0090016500_03072022000044;0011711300;;0090016500;1GRA;150437954R;CON-S-0130;2;780;570;478;144,875;47;GERB--3195_780_570;widthwise;202208240000;202208290800;4;4
0090016500_03072022000045;0002801804;;0090016500;3GRA;304016090R;SLI---1200;2;1600;1200;930;523,792;45;GERB--1613_1600_1200;widthwise;202208220000;202208251100;15;100
0090016500_03072022000046;0011419800;;0090016500;3GRA;321016887R;SLI---1200;49;1600;1200;930;374,020;45;GERB--1613_1600_1200;widthwise;202207190000;202207221630;9;100
0090016500_03072022000047;0011895401;;0090016500;1GRA;381011337R;ETM---4434;10;1275;1014;840;1175,500;140;GERB--0051_1275_1014;widthwise;202207150000;202207201430;20;3
0090016500_03072022000048;0027830400;;0090016500;1GRA;322010609R;ETM---4434;7;1275;1014;840;1153,800;140;GERB--0051_1275_1014;widthwise;202207190000;202207221600;21;3
0090016500_03072022000049;0011711300;;0090016500;1GRA;8200339579;CON-S-0130;2;780;570;478;285,600;47;GERB--3195_780_570;widthwise;202207180000;202207211100;8;4
0090016500_03072022000050;0027830400;;0090016500;1GRA;322010609R;ETM---4434;7;1275;1014;840;1153,800;140;GERB--0051_1275_1014;widthwise;202207140000;202207191600;21;3
0090016500_03072022000051;0027830400;;0090016500;1GRA;322010609R;ETM---4434;7;1275;1014;840;1153,800;140;GERB--0051_1275_1014;widthwise;202208230000;202208261600;21;3
0090016500_03072022000052;0000037402;;0090016500;1GRA;150820256R;PAL-S-0022;10;1200;800;750;397,040;0;GERB--3737_1200_800;none;202208300000;202209021500;78;1
0090016500_03072022000053;0040909900;;0090016500;3GRA;304019125R;SLI---1200;9;1600;1200;930;486,928;45;GERB--1613_1600_1200;widthwise;202208300000;202209021830;14;100
0090016500_03072022000054;0027830400;;0090016500;1GRA;322410780R;SLI---0130;6;800;600;560;397,120;42;GERB--0588_800_600;none;202208220000;202208251600;8;100
0090016500_03072022000055;0011711300;;0090016500;1GRA;322B63220R;SLI---0130;6;800;600;560;437,320;42;GERB--0588_800_600;none;202207260000;202207290800;8;100
0090016500_03072022000056;0011711300;;0090016500;1GRA;322B41262R;SLI---0130;3;800;600;560;436,580;42;GERB--0588_800_600;none;202207180000;202207211100;8;100
0090016500_03072022000057;0040145700;;0090016500;1GRA;150129239R;SLI---0770;1;1200;1000;975;454,450;45;GERB--1213_1200_1000;none;202209130000;202209161730;25;100
0090016500_03072022000058;0027830400;;0090016500;1GRA;124011089R;ETM---4434;1;1275;1014;840;1233,000;140;GERB--0051_1275_1014;widthwise;202208290000;202209011600;24;3
0090016500_03072022000059;0040145700;;0090016500;3GRA;304019125R;SLI---1200;27;1600;1200;930;486,928;45;GERB--1613_1600_1200;widthwise;202207060000;202207111900;14;100
0090016500_03072022000060;0011711300;;0090016500;1GRA;323724393R;SLI---0130;2;800;600;560;428,000;42;GERB--0588_800_600;none;202207200000;202207251100;8;100
0090016500_03072022000061;0002487200;;0090016500;1GRA;122828736R;ETM---4434;4;1275;1014;840;1645,160;140;GERB--0051_1275_1014;widthwise;202208300000;202209021930;17;3
0090016500_03072022000062;0027830400;;0090016500;1GRA;322419778R;SLI---0130;5;800;600;560;437,320;42;GERB--0588_800_600;none;202207150000;202207201600;8;100
0090016500_03072022000063;0011895401;;0090016500;1GRA;381013901R;ETM---4434;8;1275;1014;840;1360,000;140;GERB--0051_1275_1014;widthwise;202207260000;202207291430;26;3
0090016500_03072022000064;0027830500;;0090016500;1GRA;130216552R;CON-S-0130;3;780;570;478;303,800;47;GERB--3195_780_570;widthwise;202207210000;202207261600;18;4
0090016500_03072022000065;0002487200;;0090016500;1GRA;122829720R;ETM---4434;11;1275;1014;840;1302,900;140;GERB--0051_1275_1014;widthwise;202207260000;202207291930;12;3
0090016500_03072022000066;0027830400;;0090016500;1GRA;124011215R;ETM---4434;1;1275;1014;840;1207,500;140;GERB--0051_1275_1014;widthwise;202207250000;202207281600;24;3
0090016500_03072022000067;0011711300;;0090016500;1GRA;323724393R;SLI---0130;2;800;600;560;428,000;42;GERB--0588_800_600;none;202209050000;202209080800;8;100
0090016500_03072022000068;0027830400;;0090016500;1GRA;322410780R;SLI---0130;4;800;600;560;397,120;42;GERB--0588_800_600;none;202209010000;202209061600;8;100
