Item ident;Supplier code;Supplier dock;Plant code;Plant dock;Product code;Package code;Number of items;Length;Width;Height;Weight;Nesting height;Stackability code;Forced orientation;Earliest arrival time;Latest arrival time;Inventory cost;Max stackability
0090016800_03072022000001;0009639103;;0090016800;G0525;391016840R;SFDA--9813;2;1200;1000;975;671,050;45;GERB--1213_1200_1000;none;202207060000;202207090440;31;100
0090016800_03072022000002;0025104808;;0090016800;G0511;963749324R;SLI---2112;1;1206;1010;485;52,984;0;GERB--0528_1206_1010;none;202207250000;202207282320;30;100
0090016800_03072022000003;0026447800;;0090016800;G0511;465032674R;SLI---2112;1;1206;1010;1385;236,760;0;GERB--0528_1206_1010;none;202207300000;202208291830;10;100
0090016800_03072022000004;0025915001;;0090016800;G0511;828207101R;SLI---2112;1;1206;1010;1181;259,320;0;GERB--0528_1206_1010;none;202207230000;202207272140;22;100
0090016800_03072022000005;0061187700;;0090016800;G0521;739472397R;CON-S-0130;4;780;570;478;83,000;47;GERB--3195_780_570;widthwise;202207250000;202207282130;1;4
0090016800_03072022000006;0011635500;;0090016800;G0525;995453517R;SLI---2112;1;1206;1010;385;151,346;0;GERB--0528_1206_1010;none;202208250000;202208251940;114;1
0090016800_03072022000007;0023235902;;0090016800;G0526;623109659R;SFDA--9264;4;1200;1000;975;181,703;45;GERB--1213_1200_1000;none;202207230000;202207271630;7;100
0090016800_03072022000008;0021865316;;0090016800;G0525;240159260R;SLI---2112;1;1206;1010;485;52,560;0;GERB--0528_1206_1010;none;202207190000;202207221930;67;100
0090016800_03072022000009;0027690200;;0090016800;G606;237146841R;SLI---0760;3;1200;1000;930;341,200;45;GERB--1213_1200_1000;none;202207150000;202207190230;10;100
0090016800_03072022000010;0023235902;;0090016800;G0526;799127063R;SFDA--6823;6;1600;1200;930;174,798;45;GERB--1613_1600_1200;none;202207180000;202207211630;2;100
0090016800_03072022000011;0023934607;;0090016800;G0511;288865573R;SLI---2112;2;1206;1010;1181;261,000;0;GERB--0528_1206_1010;none;202207280000;202208291830;25;100
0090016800_03072022000012;0026064701;;0090016800;G0526;550208583R;SLI---0770;1;1200;1000;975;542,520;45;GERB--1213_1200_1000;none;202207200000;202207230830;9;2
0090016800_03072022000013;0021865316;;0090016800;G0515;240106353R;SLI---2112;2;1206;1010;1391;176,888;0;GERB--0528_1206_1010;none;202207110000;202207141930;17;100
0090016800_03072022000014;0023235902;;0090016800;G0526;623100347R;KFDA--0091;2;1209;1007;990;66,942;25;GERB--2034_1209_1007;none;202207150000;202207190130;1;100
0090016800_03072022000015;0061204301;;0090016800;G0526;628114712R;SLI---0770;1;1200;1000;975;138,588;45;GERB--1213_1200_1000;none;202207220000;202207261645;1;100
0090016800_03072022000016;0023342502;;0090016800;G0511;768616086R;SFDA--9060;9;1200;1000;975;209,376;45;GERB--1213_1200_1000;none;202207230000;202207271540;4;100
0090016800_03072022000017;0021865316;;0090016800;G0515;240108193R;SLI---2112;1;1206;1010;485;64,637;0;GERB--0528_1206_1010;none;202207250000;202207281330;63;100
0090016800_03072022000018;0021865316;;0090016800;G0515;240256948R;SLI---2112;4;1206;1010;1391;192,332;0;GERB--0528_1206_1010;none;202207230000;202207271930;240;100
0090016800_03072022000019;0027752300;;0090016800;G0526;215017753R;SLI---2112;2;1206;1010;1085;175,700;0;GERB--0528_1206_1010;none;202207290000;202208262230;11;100
0090016800_03072022000020;0021865316;;0090016800;G0515;241250431R;SLI---2112;1;1206;1010;485;83,420;0;GERB--0528_1206_1010;none;202207140000;202207181930;102;100
0090016800_03072022000021;0009500603;;0090016800;G0511;488101240R;SFDA--9279;11;1200;1000;975;357,216;45;GERB--1213_1200_1000;none;202207220000;202207260320;37;100
0090016800_03072022000022;0061187700;;0090016800;G0521;663605100R;SLI---0760;1;1200;1000;930;925,000;45;GERB--1213_1200_1000;none;202207220000;202207262130;20;100
0090016800_03072022000023;0024988900;;0090016800;G0511;985P15615R;ECM---5709;9;1300;1100;975;336,560;45;GERB--0946_1300_1100;none;202207090000;202207110700;17;100
0090016800_03072022000024;0026447800;;0090016800;G0511;278708937R;SLI---0770;4;1200;1000;975;133,600;45;GERB--1213_1200_1000;none;202207210000;202207251830;1;100
0090016800_03072022000025;0009639103;;0090016800;G0525;391001102R;SLI---0770;2;1200;1000;975;675,880;45;GERB--1213_1200_1000;none;202207060000;202207090440;34;100
0090016800_03072022000026;0026447800;;0090016800;G0511;767486753R;SLI---0770;5;1200;1000;975;152,200;45;GERB--1213_1200_1000;none;202207120000;202207151830;2;100
0090016800_03072022000027;0011597102;;0090016800;G0511;821891727R;SLI---2112;1;1206;1010;485;35,210;0;GERB--0528_1206_1010;none;202207210000;202207252020;27;100
0090016800_03072022000028;0029871200;;0090016800;G0511;985708259R;ECM---5714;1;1200;1000;975;422,700;45;GERB--1213_1200_1000;none;202207270000;202207300030;35;2
0090016800_03072022000029;0023235902;;0090016800;G0525;215592385R;SLI---0770;1;1200;1000;975;136,904;45;GERB--1213_1200_1000;none;202207120000;202207150645;1;100
0090016800_03072022000030;0061203901;;0090016800;G0526;260601750R;KFDA--0087;1;1209;1007;990;102,976;25;GERB--2034_1209_1007;none;202208280000;202208290700;6;100
0090016800_03072022000031;0024975302;;0090016800;G0511;924404480R;SLI---0760;3;1200;1000;930;137,800;45;GERB--1213_1200_1000;none;202207190000;202207222320;9;100
0090016800_03072022000032;0026447800;;0090016800;G0511;278339839R;SLI---2112;1;1206;1010;485;47,850;0;GERB--0528_1206_1010;none;202207210000;202207251830;6;100
0090016800_03072022000033;0021865316;;0090016800;G0515;240104097R;SLI---2112;1;1206;1010;485;63,585;0;GERB--0528_1206_1010;none;202207210000;202207251930;63;100
0090016800_03072022000034;0021865316;;0090016800;G0515;240363261R;SLI---2112;1;1206;1010;485;73,175;0;GERB--0528_1206_1010;none;202207160000;202207201930;148;100
0090016800_03072022000035;0023235902;;0090016800;G0525;215599932R;SLI---1200;4;1600;1200;930;169,780;45;GERB--1613_1600_1200;none;202207180000;202207211740;1;100
0090016800_03072022000036;0023342502;;0090016800;G0511;828315771R;SFDA--0110;1;1600;1200;750;173,580;45;GERB--1613_1600_1200;none;202207130000;202207161040;13;100
0090016800_03072022000037;0026447800;;0090016800;G0511;465032674R;SLI---2112;1;1206;1010;1385;236,760;0;GERB--0528_1206_1010;none;202207260000;202207291830;10;100
0090016800_03072022000038;0021865316;;0090016800;G0515;240259310R;SLI---2112;1;1206;1010;787;107,354;0;GERB--0528_1206_1010;none;202207180000;202207211930;126;100
0090016800_03072022000039;0061187700;;0090016800;G0521;762466866R;CON-S-0130;2;780;570;478;166,000;47;GERB--3195_780_570;widthwise;202207230000;202207271915;3;4
0090016800_03072022000040;0021865316;;0090016800;G0515;240258795R;SLI---2112;2;1206;1010;1391;196,076;0;GERB--0528_1206_1010;none;202207190000;202207221930;252;100
0090016800_03072022000041;0041062600;;0090016800;G0511;668923839R;SLI---2112;3;1206;1010;1085;145,160;0;GERB--0528_1206_1010;none;202207230000;202207271800;9;100
0090016800_03072022000042;0061204301;;0090016800;G0511;261A39912R;SLI---2112;1;1206;1010;485;40,616;0;GERB--0528_1206_1010;none;202207160000;202207201645;6;100
0090016800_03072022000043;0027752300;;0090016800;G0511;925933231R;SLI---2112;1;1206;1010;585;63,200;0;GERB--0528_1206_1010;none;202207150000;202207191540;40;100
0090016800_03072022000044;0026447800;;0090016800;G0511;638456492R;SLI---0770;2;1200;1000;975;148,800;45;GERB--1213_1200_1000;none;202207220000;202207261940;1;100
0090016800_03072022000045;0022066707;;0090016800;G0521;992A13309R;SLI---2112;1;1206;1010;785;91,000;0;GERB--0528_1206_1010;none;202207060000;202207120200;54;100
0090016800_03072022000046;0061204301;;0090016800;G0511;622238774R;SLI---2112;1;1206;1010;485;88,950;0;GERB--0528_1206_1010;none;202207160000;202207201645;10;100
0090016800_03072022000047;0025915001;;0090016800;G0511;823307873R;SFDA--9257;1;1200;1000;975;193,530;45;GERB--1213_1200_1000;none;202207300000;202208292140;4;100
0090016800_03072022000048;0061187700;;0090016800;G0521;260929107R;CON-S-0130;1;780;570;478;142,400;47;GERB--3195_780_570;widthwise;202207270000;202207301040;2;4
0090016800_03072022000049;0025389200;;0090016800;G0511;165558896R;SLI---0760;1;1200;1000;930;167,420;45;GERB--1213_1200_1000;none;202207250000;202207282300;3;100
0090016800_03072022000050;0061187700;;0090016800;G0521;260428105R;CON-S-0130;1;780;570;478;142,400;47;GERB--3195_780_570;widthwise;202207210000;202207251915;2;4
