Item ident;Supplier code;Supplier dock;Plant code;Plant dock;Product code;Package code;Number of items;Length;Width;Height;Weight;Nesting height;Stackability code;Forced orientation;Earliest arrival time;Latest arrival time;Inventory cost;Max stackability
0090016100_03072022000001;0002504100;;0090016100;K32;147353806R;SLI---2112;16;1206;1010;1085;219,080;0;GERB--0528_1206_1010;none;202207130000;202207191050;50;100
0090016100_03072022000002;0027891104;;0090016100;G14;292A05355R;ECA---0021;1;1200;1000;1105;597,840;0;GERB--3551_1200_1000;none;202208260000;202208310615;447;100
0090016100_03072022000003;0002555901;;0090016100;G14;296G90943R;SFDA--0037;20;1200;1000;975;387,592;45;GERB--1213_1200_1000;none;202209010000;202209061050;110;100
0090016100_03072022000004;0021865322;;0090016100;G14;296832097R;SLI---2112;4;1206;1010;1185;304,800;0;GERB--0528_1206_1010;none;202208230000;202208250800;85;100
0090016100_03072022000005;0011106019;;0090016100;G14;296648630R;SLI---2112;1;1206;1010;1185;209,100;0;GERB--0528_1206_1010;none;202208300000;202209060800;1869;100
0090016100_03072022000006;0002822800;;0090016100;F14;326049728R;PAL-S-0022;5;1200;800;940;668,800;0;GERB--3737_1200_800;none;202209070000;202209120530;119;100
0090016100_03072022000007;0023207003;;0090016100;K32;144D22173R;SLI---2112;1;1206;1010;1185;261,900;0;GERB--0528_1206_1010;none;202209080000;202209121230;39;100
0090016100_03072022000008;0023207003;;0090016100;K32;144115446R;SFDA--9093;1;1200;1000;975;422,004;45;GERB--1213_1200_1000;none;202207270000;202207291405;66;2
0090016100_03072022000009;0005915200;;0090016100;M1;111507749R;SLI---2112;3;1206;1010;1181;156,600;0;GERB--0528_1206_1010;none;202207180000;202207221420;23;2
0090016100_03072022000010;0029014100;;0090016100;G14;XA0285MZ0E;SLI---2112;3;1206;1010;1185;307,300;0;GERB--0528_1206_1010;none;202207210000;202207260845;965;100
0090016100_03072022000011;0005915200;;0090016100;K32;118305765R;SFDA--9191;29;1200;1000;975;186,200;45;GERB--1213_1200_1000;none;202208290000;202209021420;8;100
0090016100_03072022000012;0001145509;;0090016100;E4;110427353R;MFM---1317;20;1220;1020;1300;793,024;0;GERB--0135_1220_1020;none;202207180000;202207201540;52;1
0090016100_03072022000013;0028555602;;0090016100;K32;151925639R;SLI---2112;3;1206;1010;1185;219,300;0;GERB--0528_1206_1010;none;202207210000;202207261015;64;100
0090016100_03072022000014;0029945103;;0090016100;G14;292A06301R;CAR-S*4150;46;1200;1000;973;248,500;0;GERB--3551_1200_1000;none;202208260000;202208310615;97;100
0090016100_03072022000015;0003326801;;0090016100;G14;319A10390R;SLI---2112;1;1206;1010;483;335,300;0;GERB--0528_1206_1010;none;202207250000;202207291420;109;100
0090016100_03072022000016;0023207003;;0090016100;K32;144118020R;SFDA--9776;18;1200;1000;975;381,800;45;GERB--1213_1200_1000;none;202207250000;202207271230;56;100
0090016100_03072022000017;0027136700;;0090016100;E11;130C09547R;SLI---0760;6;1200;1000;930;212,500;45;GERB--1213_1200_1000;none;202207180000;202207211415;9;100
0090016100_03072022000018;0026367200;;0090016100;M1;166348801R;SLI---2112;1;1206;1010;585;308,400;0;GERB--0528_1206_1010;none;202207110000;202207150835;38;100
0090016100_03072022000019;0005915200;;0090016100;M1;111503895R;SLI---2112;3;1206;1010;1181;156,600;0;GERB--0528_1206_1010;none;202208290000;202209021420;24;2
