Supplier code;Supplier loading order;Supplier dock;Supplier dock loading order;Plant code;Plant dock;Plant dock loading order;Product code;Arrival time;Id truck;Length;Width;Height;Max weight;Stack with multiple docks;Max density;Max weight on the bottom item in stacks;Cost;EMmm;EMmr;CM;CJfm;CJfc;CJfh;EM;EJhr;EJcr;EJeh
0011593800;1;;1;0090016100;E4;1;110423928R;202207190955;P200226203;13500;2440;2900;24000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0000487234;3;;3;0090016100;K32;3;167009230R;202207121750;P193226701;13500;2440;3000;24000;1;800;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0000796804;2;;2;0090016100;K32;3;132859023R;202207121750;P193226701;13500;2440;3000;24000;1;800;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0011895402;1;;1;0090016100;F14;2;8200848455;202207121750;P193226701;13500;2440;3000;24000;1;800;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0042162600;1;;1;0090016100;E4;3;8200825471;202207110910;P192011101;13500;2440;3000;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0042162600;1;;1;0090016100;E4;3;121001269R;202207110910;P192011101;13500;2440;3000;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0042162600;1;;1;0090016100;E4;3;121007180R;202207110910;P192011101;13500;2440;3000;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0006701102;2;;2;0090016100;K32;1;140013553R;202207110910;P192011101;13500;2440;3000;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0006701102;2;;2;0090016100;K32;1;165786344R;202207110910;P192011101;13500;2440;3000;25000;0;1500;750;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0026002401;1;;1;0090016100;K32;1;208A09116R;202209021150;P245226103;13500;2440;2900;24000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0026002401;1;;1;0090016100;K32;1;208A00183R;202209021150;P245226103;13500;2440;2900;24000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0026002401;1;;1;0090016100;K32;1;208A06174R;202209021150;P245226103;13500;2440;2900;24000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0026002401;1;;1;0090016100;K32;1;208A00374R;202209021150;P245226103;13500;2440;2900;24000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0002706302;2;;2;0090016100;F14;3;322018227R;202207290640;P210339405;13500;2440;3000;24000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0002878000;3;;3;0090016100;M1;1;165762274R;202207290640;P210339405;13500;2440;3000;24000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0002706302;2;;2;0090016100;F14;3;322013726R;202207290640;P210339405;13500;2440;3000;24000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0002878000;3;;3;0090016100;M1;1;165768877R;202207290640;P210339405;13500;2440;3000;24000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0002706302;2;;2;0090016100;F14;3;314L29983R;202207290640;P210339405;13500;2440;3000;24000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0003699209;1;;1;0090016100;K32;2;110602449R;202207290640;P210339405;13500;2440;3000;24000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0003699209;1;;1;0090016100;K32;2;110606993R;202207290640;P210339405;13500;2440;3000;24000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0011895401;1;;0;0090016100;F14;0;8200493743;202209051150;P248217101;13500;2440;2600;24000;1;1000;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0011895401;1;;0;0090016100;F14;0;8200493756;202209051150;P248217101;13500;2440;2600;24000;1;1000;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0001145509;1;;1;0090016100;E4;1;110427353R;202207191615;P200010405;13500;2440;2600;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0001145509;1;;1;0090016100;E4;1;8200519994;202207191615;P200010405;13500;2440;2600;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0002335501;2;;1;0090016100;M1;1;8200988133;202208220530;P234216601;13500;2440;2600;24000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0002335501;2;;1;0090016100;M1;1;8201034917;202208220530;P234216601;13500;2440;2600;24000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0002335501;2;;1;0090016100;M1;1;144505386R;202208220530;P234216601;13500;2440;2600;24000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0002822800;3;;2;0090016100;F14;3;326049728R;202208220530;P234216601;13500;2440;2600;24000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0029411001;1;;3;0090016100;K32;2;167001930R;202208220530;P234216601;13500;2440;2600;24000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0002335501;2;;1;0090016100;M1;1;144509484R;202208220530;P234216601;13500;2440;2600;24000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0002822800;3;;2;0090016100;F14;3;8200018491;202208220530;P234216601;13500;2440;2600;24000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0002822800;3;;2;0090016100;F14;3;8200344149;202208220530;P234216601;13500;2440;2600;24000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0002822800;3;;2;0090016100;F14;3;8200344129;202208220530;P234216601;13500;2440;2600;24000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0002335501;2;;1;0090016100;M1;1;147186182R;202208220530;P234216601;13500;2440;2600;24000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0029411001;1;;3;0090016100;K32;2;167008683R;202208220530;P234216601;13500;2440;2600;24000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0002822800;3;;2;0090016100;F14;3;326043194R;202208220530;P234216601;13500;2440;2600;24000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0002822800;3;;2;0090016100;F14;3;326104966R;202208220530;P234216601;13500;2440;2600;24000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0024267502;1;;1;0090016100;K32;1;147137099R;202208290950;P241338803;13500;2440;2600;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0024267502;1;;1;0090016100;M1;2;8200984402;202208290950;P241338803;13500;2440;2600;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0024267502;1;;1;0090016100;M1;2;147255421R;202208290950;P241338803;13500;2440;2600;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0024267502;1;;1;0090016100;M1;2;147130894R;202208290950;P241338803;13500;2440;2600;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0023376100;2;;2;0090016100;E4;3;122017260R;202208290950;P241338803;13500;2440;2600;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
