Item ident;Supplier code;Supplier dock;Plant code;Plant dock;Product code;Package code;Number of items;Length;Width;Height;Weight;Nesting height;Stackability code;Forced orientation;Earliest arrival time;Latest arrival time;Inventory cost;Max stackability
0090019100_03072022000001;0000322802;;0090019100;191GY-;462111940R;SLI---2112;1;1206;1010;485;31,100;0;GERB--0528_1206_1010;none;202207070000;202207130900;28;100
0090019100_03072022000002;0000772511;;0090019100;191GY-;764A98977R;SLI---0770;1;1200;1000;975;238,680;45;GERB--1213_1200_1000;none;202208190000;202208240900;19;100
0090019100_03072022000003;0023642903;;0090019100;191GY-;260603201R;SFDA--9219;1;1200;1000;975;186,480;45;GERB--1213_1200_1000;none;202207270000;202208191100;17;100
0090019100_03072022000004;0026358500;;0090019100;191GY-;215035MS1A;SLI---2112;1;1206;1010;1185;208,900;0;GERB--0528_1206_1010;none;202207220000;202207271200;25;100
0090019100_03072022000005;0005277700;;0090019100;191GY-;803017788R;ECM---4934;1;1200;1185;940;269,600;45;GERB--1687_1200_1185;none;202207060000;202207131130;18;100
0090019100_03072022000006;0007908418;;0090019100;191GRB0;671205MZ0A;MTEM--8748;12;1800;1200;1490;544,112;45;GERB--0088_1800_1200;none;202207130000;202207190645;6;100
0090019100_03072022000007;0042435800;;0090019100;191GY-;271435295R;SLI---2112;12;1206;1010;1185;259,900;0;GERB--0528_1206_1010;none;202207280000;202208220645;111;100
0090019100_03072022000008;0022040200;;0090019100;191GRB0;763202425R;SLI---0130;5;800;600;560;119,300;42;GERB--0588_800_600;none;202209010000;202209060645;2;100
0090019100_03072022000009;0002573222;;0090019100;191GRB0;801B11135R;SLI---0760;10;1200;1000;930;240,100;45;GERB--1213_1200_1000;none;202207060000;202207110645;11;100
0090019100_03072022000010;0041223901;;0090019100;191GY-;208021717R;SLI---0770;8;1200;1000;975;243,600;45;GERB--1213_1200_1000;none;202209080000;202209131400;87;100
0090019100_03072022000011;0026036500;;0090019100;191GY-;909049985R;KFDA--0121;3;1209;1007;990;80,750;25;GERB--2034_1209_1007;none;202208230000;202208261145;1;100
0090019100_03072022000012;0022040200;;0090019100;191GRB0;767432655R;SLI---0770;1;1200;1000;975;314,400;45;GERB--1213_1200_1000;none;202207210000;202207260645;6;100
0090019100_03072022000013;0041223901;;0090019100;191GY-;208023544R;SLI---0770;24;1200;1000;975;249,384;45;GERB--1213_1200_1000;none;202208250000;202208301400;39;100
0090019100_03072022000014;0026358500;;0090019100;191GY-;215035MS1A;SLI---2112;1;1206;1010;1185;208,900;0;GERB--0528_1206_1010;none;202207280000;202208221200;25;100
0090019100_03072022000015;0008010011;;0090019100;191GY-;622211033R;SLI---2112;1;1206;1010;585;120,700;0;GERB--0528_1206_1010;none;202208250000;202208301300;114;100
0090019100_03072022000016;0025445204;;0090019100;191GY-;808339680R;SLI---2112;1;1206;1010;1181;277,640;0;GERB--0528_1206_1010;none;202209120000;202209150900;28;100
0090019100_03072022000017;0022040200;;0090019100;191GRB0;631409223R;SLI---2112;1;1206;1010;585;330,400;0;GERB--0528_1206_1010;none;202208250000;202208300645;134;100
0090019100_03072022000018;0091018400;;0090019100;191GY-;237D15MP0A;CAR-S*4265;24;1180;1140;545;72,560;0;GERB--5941_1180_1140;none;202208230000;202208261300;3;100
0090019100_03072022000019;0009639103;;0090019100;191GY-;391000352R;SFDA--9841;18;1200;1000;975;776,880;45;GERB--1213_1200_1000;none;202209050000;202209080645;36;100
0090019100_03072022000020;0000772511;;0090019100;191GY-;764594124R;SLI---0770;2;1200;1000;975;210,240;45;GERB--1213_1200_1000;none;202209070000;202209120930;10;100
0090019100_03072022000021;0007908407;;0090019100;191GY-;620433474R;SLI---0770;1;1200;1000;975;253,880;45;GERB--1213_1200_1000;none;202209080000;202209140900;5;100
0090019100_03072022000022;0005277700;;0090019100;191GY-;903007431R;CON-S-0451;1;1880;1100;840;320,200;45;GERB--0346_1880_1100;none;202209050000;202209121130;7;100
0090019100_03072022000023;0000772511;;0090019100;191GY-;850459835R;SLI---0770;2;1200;1000;975;157,608;45;GERB--1213_1200_1000;none;202209050000;202209081330;4;100
0090019100_03072022000024;0002928900;;0090019100;191GY-;806078711R;SLI---2112;1;1206;1010;1085;158,120;0;GERB--0528_1206_1010;none;202209010000;202209061400;36;100
0090019100_03072022000025;0090016100;K11;0090019100;191GDB;100014013R;CFDA--3040;1;2280;1470;990;1373,000;45;GERB--1552_2280_1470;none;202208220000;202208230915;187;100
0090019100_03072022000026;0024040302;;0090019100;191GY-;254214909R;CKD-PAL-19;1;1140;980;338;53,128;0;GERB--7391_1140_980;none;202208220000;202208250900;79;100
0090019100_03072022000027;0011869201;;0090019100;191GY-;807211619R;SLI---0770;11;1200;1000;975;236,280;45;GERB--1213_1200_1000;none;202209050000;202209080900;16;100
0090019100_03072022000028;0028879100;;0090019100;191GY-;756405MZ0A;SLI---0770;7;1200;1000;975;462,873;45;GERB--1213_1200_1000;none;202209070000;202209121100;5;100
0090019100_03072022000029;0090016100;G16;0090019100;191GDB;290035994R;CFDA--3045;3;2280;1470;885;958,000;45;GERB--1552_2280_1470;none;202207280000;202207290730;164;100
0090019100_03072022000030;0006701102;;0090019100;191GY-;214105169R;SLI---1200;2;1600;1200;930;200,600;45;GERB--1613_1600_1200;none;202209050000;202209080800;5;100
0090019100_03072022000031;0012080401;;0090019100;191GY-;804003431R;SLI---2112;1;1206;1010;785;408,200;0;GERB--0528_1206_1010;none;202209090000;202209140645;44;100
0090019100_03072022000032;0000772511;;0090019100;191GY-;764262374R;SFDA--9856;1;2400;1200;975;365,080;45;GERB--0059_2400_1200;none;202207250000;202207281330;3;100
0090019100_03072022000033;0011106024;;0090019100;191GRE;296954773R;SLI---2112;1;1206;1010;1391;101,240;0;GERB--0528_1206_1010;none;202208230000;202208261200;16;100
0090019100_03072022000034;0012080401;;0090019100;191GY-;804005615R;SLI---2112;1;1206;1010;985;459,400;0;GERB--0528_1206_1010;none;202207150000;202207200645;48;100
0090019100_03072022000035;0011509705;;0090019100;191GY-;924102218R;SLI---2112;1;1206;1010;787;66,080;0;GERB--0528_1206_1010;none;202207150000;202207200645;44;100
0090019100_03072022000036;0028333101;;0090019100;191GDA;849960987R;SLI---1200;1;1600;1200;930;164,400;45;GERB--1613_1600_1200;none;202207130000;202208190700;2;100
0090019100_03072022000037;0091018400;;0090019100;191GY-;656016071R;SLI---2112;1;1206;1010;1185;357,500;0;GERB--0528_1206_1010;none;202208260000;202208311300;29;100
0090019100_03072022000038;0026358500;;0090019100;191GY-;215035MS1A;SLI---2112;2;1206;1010;1185;208,900;0;GERB--0528_1206_1010;none;202207180000;202207211200;25;100
0090019100_03072022000039;0025050301;;0090019100;191GY-;410106RD0A;SLI---0770;12;1200;1000;975;950,880;45;GERB--1213_1200_1000;none;202209050000;202209081200;30;100
0090019100_03072022000040;0008010011;;0090019100;191GY-;852236421R;SLI---2112;1;1206;1010;1391;212,120;0;GERB--0528_1206_1010;none;202207070000;202207121300;104;100
0090019100_03072022000041;0007235905;;0090019100;191GY-;550205503R;SLI---0770;1;1200;1000;975;316,080;45;GERB--1213_1200_1000;none;202207060000;202207131145;6;2
0090019100_03072022000042;0090016100;G16;0090019100;191GDB;290035994R;CFDA--3045;41;2280;1470;885;958,000;45;GERB--1552_2280_1470;none;202207220000;202207250915;164;100
0090019100_03072022000043;0028333101;;0090019100;191GDA;849513951R;SLI---1200;5;1600;1200;930;163,200;45;GERB--1613_1600_1200;none;202207070000;202207260700;2;100
0090019100_03072022000044;0000772511;;0090019100;191GY-;808215971R;SFDA--9852;4;1600;1200;930;199,152;45;GERB--1613_1600_1200;none;202207260000;202207290900;4;100
0090019100_03072022000045;0028879100;;0090019100;191GY-;612688378R;SLI---2112;1;1206;1010;285;137,850;0;GERB--0528_1206_1010;none;202209090000;202209141100;23;100
0090019100_03072022000046;0002809401;;0090019100;191GY-;680505017R;SLI---2112;24;1206;1010;1361;143,000;0;GERB--0528_1206_1010;none;202208300000;202209020745;69;100
0090019100_03072022000047;0022040200;;0090019100;191GRB0;673805MZ0A;SLI---2112;1;1206;1010;385;36,420;0;GERB--0528_1206_1010;none;202208300000;202209020645;40;100
0090019100_03072022000048;0002573223;;0090019100;191GE-;678847221R;ECM---4766;6;1675;1200;1475;255,968;45;GERB--0577_1675_1200;none;202209080000;202209131000;14;100
0090019100_03072022000049;0007908407;;0090019100;191GY-;641351821R;SLI---2112;1;1206;1010;1185;662,300;0;GERB--0528_1206_1010;none;202207070000;202207130900;33;100
0090019100_03072022000050;0005706100;;0090019100;191GY-;543217104R;SLI---0770;6;1200;1000;975;129,240;45;GERB--1213_1200_1000;none;202209020000;202209090900;6;100
0090019100_03072022000051;0091018400;;0090019100;191GY-;656016071R;SLI---2112;3;1206;1010;1185;357,500;0;GERB--0528_1206_1010;none;202209060000;202209091300;29;100
0090019100_03072022000052;0023642903;;0090019100;191GY-;260105627R;KFDA--0152;1;1209;1007;990;103,550;25;GERB--2034_1209_1007;none;202207150000;202207201100;11;100
0090019100_03072022000053;0026036500;;0090019100;191GY-;985P38886R;SLI---2112;4;1206;1010;1085;99,650;0;GERB--0528_1206_1010;none;202207130000;202207191330;2;100
0090019100_03072022000054;0026358500;;0090019100;191GY-;217415MS1A;SLI---2112;1;1206;1010;1185;251,900;0;GERB--0528_1206_1010;none;202209050000;202209081200;23;100
0090019100_03072022000055;0012080401;;0090019100;191GY-;804009307R;SLI---2112;1;1206;1010;985;439,800;0;GERB--0528_1206_1010;none;202207150000;202207200645;30;100
0090019100_03072022000056;0026358500;;0090019100;191GY-;215115MS2A;SLI---0770;1;1200;1000;975;180,000;45;GERB--1213_1200_1000;none;202207080000;202207131200;16;100
0090019100_03072022000057;0002573223;;0090019100;191GE-;678847083R;ECM---4766;27;1675;1200;1475;257,996;45;GERB--0577_1675_1200;none;202208220000;202208251000;9;100
0090019100_03072022000058;0025445204;;0090019100;191GY-;823304578R;SFDA--9871;3;1600;1200;930;225,736;45;GERB--1613_1600_1200;none;202207200000;202207250945;10;100
0090019100_03072022000059;0028075913;;0090019100;191GY-;756102066R;SLI---1200;13;1600;1200;930;386,800;45;GERB--1613_1600_1200;none;202209120000;202209150945;11;100
0090019100_03072022000060;0009500612;;0090019100;191GY-;490015MZ3B;ECM---4756;15;1910;1200;1490;585,000;45;GERB--0828_1910_1200;none;202209120000;202209151145;54;100
0090019100_03072022000061;0002573223;;0090019100;191GRB0;673185MZ0A;SLI---0770;3;1200;1000;975;214,800;45;GERB--1213_1200_1000;none;202207190000;202207221100;2;100
0090019100_03072022000062;0002555101;;0090019100;191GY-;905424821R;SLI---2112;1;1206;1010;1185;182,400;0;GERB--0528_1206_1010;none;202209060000;202209130945;18;100
0090019100_03072022000063;0002573225;;0090019100;191GAB;762140721R;SLI---1101;1;1900;1200;750;562,861;45;GERB--0109_1900_1200;none;202207270000;202208190915;12;100
0090019100_03072022000064;0011106024;;0090019100;191GRE;296950757R;SLI---2112;18;1206;1010;1391;188,600;0;GERB--0528_1206_1010;none;202209070000;202209120645;34;100
0090019100_03072022000065;0041223901;;0090019100;191GY-;208021717R;SLI---0770;3;1200;1000;975;243,600;45;GERB--1213_1200_1000;none;202207110000;202207151400;87;100
0090019100_03072022000066;0011106024;;0090019100;191GRE;296950795R;SLI---2112;1;1206;1010;1391;179,000;0;GERB--0528_1206_1010;none;202209140000;202209190645;152;100
0090019100_03072022000067;0011509705;;0090019100;191GY-;924795MZ6A;SLI---2112;1;1206;1010;1085;140,300;0;GERB--0528_1206_1010;none;202207110000;202207150645;18;100
0090019100_03072022000068;0002573223;;0090019100;191GRB0;821072615R;SLI---0770;5;1200;1000;975;230,778;45;GERB--1213_1200_1000;none;202207200000;202207251100;6;100
0090019100_03072022000069;0005124500;;0090019100;191GY-;484003104R;SLI---2112;8;1206;1010;1426;171,860;0;GERB--0528_1206_1010;none;202209120000;202209161315;66;100
0090019100_03072022000070;0022040200;;0090019100;191GRB0;732207403R;CON-S-0130;1;780;570;478;63,600;47;GERB--3195_780_570;widthwise;202207270000;202208190645;1;4
0090019100_03072022000071;0002928900;;0090019100;191GY-;806064184R;SLI---2112;2;1206;1010;1085;158,210;0;GERB--0528_1206_1010;none;202208250000;202208301400;36;100
0090019100_03072022000072;0028333101;;0090019100;191GY-;849600059R;SLI---0901;4;1600;1200;750;149,400;45;GERB--1613_1600_1200;none;202208300000;202209150600;2;100
0090019100_03072022000073;0023642903;;0090019100;191GY-;260606256R;KFDA--0013;20;1209;1007;990;103,550;25;GERB--2034_1209_1007;none;202208310000;202209051100;10;100
0090019100_03072022000074;0090016100;G16;0090019100;191GDB;290035994R;CFDA--3045;69;2280;1470;885;958,000;45;GERB--1552_2280_1470;none;202209130000;202209140730;164;100
0090019100_03072022000075;0027562001;;0090019100;191GY-;805030608R;SLI---2112;3;1206;1010;1185;227,400;0;GERB--0528_1206_1010;none;202208300000;202209020645;22;100
0090019100_03072022000076;0000772511;;0090019100;191GRG;850180046R;ECM---4940;1;2050;1200;1450;343,788;45;GERB--1803_2050_1200;none;202209090000;202209140900;3;100
0090019100_03072022000077;0022040200;;0090019100;191GRB0;673H05MZ0A;SLI---2112;1;1206;1010;285;21,380;0;GERB--0528_1206_1010;none;202207070000;202207120645;9;100
0090019100_03072022000078;0005915200;;0090019100;191GY-;295G98262R;SLI---0770;1;1200;1000;975;152,903;45;GERB--1213_1200_1000;none;202209010000;202209061300;3;100
0090019100_03072022000079;0023261013;;0090019100;191GY-;562100525R;SFDA--0020;9;1200;1000;975;346,500;45;GERB--1213_1200_1000;none;202209010000;202209060745;8;100
0090019100_03072022000080;0008010011;;0090019100;191GY-;626853171R;SLI---0601;1;1200;1000;750;109,560;45;GERB--1213_1200_1000;none;202207290000;202208231300;3;100
0090019100_03072022000081;0028681300;;0090019100;191GY-;668300698R;SLI---1200;2;1600;1200;930;271,300;45;GERB--1613_1600_1200;none;202207210000;202207281015;9;100
0090019100_03072022000082;0028333101;;0090019100;191GDA;849046090R;SLI---0770;19;1200;1000;975;149,000;45;GERB--1213_1200_1000;none;202207260000;202208310700;3;100
0090019100_03072022000083;0011869201;;0090019100;191GY-;827219233R;SLI---2112;12;1206;1010;985;167,080;0;GERB--0528_1206_1010;none;202208310000;202209050900;16;100
0090019100_03072022000084;0002573222;;0090019100;191GRB0;663626851R;SLI---0901;2;1600;1200;750;314,640;45;GERB--1613_1600_1200;none;202207220000;202207270900;8;100
0090019100_03072022000085;0003699225;;0090019100;191GY-;727614249R;PAL-S-0374;1;1600;1200;270;34,948;0;GERB--3620_1600_1200;none;202207110000;202207191015;24;100
0090019100_03072022000086;0002555101;;0090019100;191GY-;833807837R;SLI---2112;5;1206;1010;1331;83,640;0;GERB--0528_1206_1010;none;202208260000;202209020945;4;100
0090019100_03072022000087;0002884103;;0090019100;191GY-;997505220R;SLI---0770;17;1200;1000;975;124,776;45;GERB--1213_1200_1000;none;202209060000;202209130945;2;100
0090019100_03072022000088;0022040200;;0090019100;191GRB0;801553060R;SLI---2112;1;1206;1010;385;74,900;0;GERB--0528_1206_1010;none;202208250000;202208300645;24;100
0090019100_03072022000089;0000772511;;0090019100;191GY-;764190724R;SFDA--9856;3;2400;1200;975;365,080;45;GERB--0059_2400_1200;none;202207190000;202207220900;3;100
0090019100_03072022000090;0002555101;;0090019100;191GY-;657027724R;SLI---2112;1;1206;1010;385;69,120;0;GERB--0528_1206_1010;none;202209020000;202209090945;84;100
0090019100_03072022000091;0000239412;;0090019100;191GY-;279B44929R;SLI---2112;1;1206;1010;485;134,200;0;GERB--0528_1206_1010;none;202208230000;202208261100;5;100
0090019100_03072022000092;0026358500;;0090019100;191GY-;215767354R;SLI---2112;1;1206;1010;585;109,500;0;GERB--0528_1206_1010;none;202207120000;202207181200;50;100
0090019100_03072022000093;0002573223;;0090019100;191GRB0;801061859R;SLI---0770;1;1200;1000;975;251,400;45;GERB--1213_1200_1000;none;202207260000;202207291100;7;100
0090019100_03072022000094;0026358500;;0090019100;191GY-;215155MS1A;SLI---2112;1;1206;1010;385;62,900;0;GERB--0528_1206_1010;none;202207080000;202207131200;27;100
0090019100_03072022000095;0002573223;;0090019100;191GRB0;821467596R;SLI---0770;4;1200;1000;975;237,960;45;GERB--1213_1200_1000;none;202207060000;202207111100;9;100
0090019100_03072022000096;0022040200;;0090019100;191GRB0;651407514R;SLI---2112;1;1206;1010;585;292,500;0;GERB--0528_1206_1010;none;202207290000;202208230645;629;100
0090019100_03072022000097;0011509705;;0090019100;191GY-;924425MZ4A;SLI---2112;1;1206;1010;1391;107,180;0;GERB--0528_1206_1010;none;202208250000;202208300645;9;100
0090019100_03072022000098;0026358500;;0090019100;191GY-;215025MS2A;SLI---2112;1;1206;1010;585;110,400;0;GERB--0528_1206_1010;none;202207120000;202207181200;48;100
0090019100_03072022000099;0007908418;;0090019100;191GRB0;641103787R;SLI---0601;14;1200;1000;750;248,900;45;GERB--1213_1200_1000;none;202207210000;202207260645;8;100
0090019100_03072022000100;0000772511;;0090019100;191GY-;828202178R;SFDA--9853;3;1600;1200;930;200,472;45;GERB--1613_1600_1200;none;202207250000;202207281330;5;100
0090019100_03072022000101;0002573222;;0090019100;191GZ-;295F05277R;ECM---5314;16;1600;1400;990;307,030;45;GERB--1155_1600_1400;none;202209020000;202209071330;5;100
0090019100_03072022000102;0007908407;;0090019100;191GY-;765302767R;SLI---0601;16;1200;1000;750;204,800;45;GERB--1213_1200_1000;none;202207070000;202207130900;5;100
0090019100_03072022000103;0002573222;;0090019100;191GRB0;663626851R;SLI---0901;2;1600;1200;750;314,640;45;GERB--1613_1600_1200;none;202208190000;202208240900;8;100
0090019100_03072022000104;0002573222;;0090019100;191GRB0;663626851R;SLI---0901;6;1600;1200;750;314,640;45;GERB--1613_1600_1200;none;202209140000;202209190645;8;100
0090019100_03072022000105;0000772511;;0090019100;191GY-;764A98977R;SLI---0770;1;1200;1000;975;238,680;45;GERB--1213_1200_1000;none;202207110000;202207150900;19;100
0090019100_03072022000106;0002695000;;0090019100;191GY-;926005MZ1A;PAL-S-0369;12;1140;1140;1000;292,179;0;GERB--7170_1140_1140;none;202209050000;202209081435;69;100
0090019100_03072022000107;0000239412;;0090019100;191GY-;279B44929R;SLI---2112;1;1206;1010;1085;363,800;0;GERB--0528_1206_1010;none;202207050000;202207081100;15;100
0090019100_03072022000108;0002573225;;0090019100;191GAB;762156222R;SLI---1101;6;1900;1200;750;562,861;45;GERB--0109_1900_1200;none;202208310000;202209051015;12;100
0090019100_03072022000109;0026036500;;0090019100;191GY-;822753050R;SLI---2112;1;1206;1010;1085;93,050;0;GERB--0528_1206_1010;none;202208300000;202209021145;4;100
0090019100_03072022000110;0002573225;;0090019100;191GAB;762156222R;SLI---1101;3;1900;1200;750;562,861;45;GERB--0109_1900_1200;none;202207220000;202207271015;12;100
