Item ident;Supplier code;Supplier dock;Plant code;Plant dock;Product code;Package code;Number of items;Length;Width;Height;Weight;Nesting height;Stackability code;Forced orientation;Earliest arrival time;Latest arrival time;Inventory cost;Max stackability
0091017600_03072022000001;0041092201;;0091017600;176GRQ;620262369R;ECM---5114;2;2400;2200;1500;372,096;45;GERB--0440_2400_2200;none;202207010000;202207081215;3;100
0091017600_03072022000002;0011579600;;0091017600;176ARA;755105155R;SLI---0770;2;1200;1000;975;367,776;45;GERB--1213_1200_1000;none;202208300000;202209020700;4;100
0091017600_03072022000003;0011130702;;0091017600;176ARA;745A65588R;SLI---0130;1;800;600;560;143,840;42;GERB--0588_800_600;widthwise;202208310000;202209050700;3;100
0091017600_03072022000004;0002901101;;0091017600;176FD2;850B27602R;ECM---3807;1;2400;2200;1500;536,900;45;GERB--0440_2400_2200;none;202207280000;202208261300;5;100
0091017600_03072022000005;0041092201;;0091017600;176GRQ;620262369R;ECM---5114;2;2400;2200;1500;372,096;45;GERB--0440_2400_2200;none;202207010000;202207071215;3;100
0091017600_03072022000006;0011152719;;0091017600;176GRL;293891497R;SLI---2112;1;1206;1010;1382;120,200;0;GERB--0528_1206_1010;none;202207210000;202207281345;28;100
0091017600_03072022000007;0002901101;;0091017600;176FD2;269160001R;SLI---1200;1;1600;1200;930;226,000;45;GERB--1613_1600_1200;widthwise;202207070000;202207121300;2;100
0091017600_03072022000008;0011130700;;0091017600;176ARA;754F45648R;SLI---0130;1;800;600;560;128,600;42;GERB--0588_800_600;widthwise;202208260000;202208311000;4;100
0091017600_03072022000009;0011130702;;0091017600;176ARA;759237030R;CON-S-0130;2;780;570;478;193,050;47;GERB--3195_780_570;widthwise;202207260000;202207290700;3;4
0091017600_03072022000010;0011130703;;0091017600;176ARA;641667354R;SLI---0770;18;1200;1000;975;221,370;45;GERB--1213_1200_1000;none;202207250000;202207280700;2;100
0091017600_03072022000011;0027376000;;0091017600;176ARA;752233623R;CON-S-0130;1;780;570;478;67,000;47;GERB--3195_780_570;widthwise;202207280000;202208261000;1;4
0091017600_03072022000012;0026254901;;0091017600;176GRS;295F14656R;SLI---1200;21;1600;1200;930;264,272;45;GERB--1613_1600_1200;widthwise;202208250000;202208290601;21;100
0091017600_03072022000013;0011130702;;0091017600;176ARA;745A77824R;SLI---0130;1;800;600;560;180,560;42;GERB--0588_800_600;widthwise;202207270000;202208250700;3;100
0091017600_03072022000014;0011152719;;0091017600;176GRL;294A53977R;SLI---2112;1;1206;1010;1382;113,000;0;GERB--0528_1206_1010;none;202207140000;202207211345;25;100
0091017600_03072022000015;0041092201;;0091017600;176GRQ;850B21863R;ECM---4866;1;2400;2200;1500;360,798;45;GERB--0440_2400_2200;none;202207080000;202207150915;4;100
0091017600_03072022000016;0011579600;;0091017600;176ARA;755112832R;SLI---0770;4;1200;1000;975;367,560;45;GERB--1213_1200_1000;none;202207250000;202207280700;4;100
0091017600_03072022000017;0011130703;;0091017600;176ARA;671A11748R;SLI---0130;8;800;600;560;81,200;42;GERB--0588_800_600;widthwise;202208310000;202209050700;2;100
0091017600_03072022000018;0025104304;;0091017600;176ARA;676009691R;SLI---0760;2;1200;1000;930;278,800;45;GERB--1213_1200_1000;none;202207290000;202208291000;6;100
0091017600_03072022000019;0011579600;;0091017600;176ARA;755112832R;SLI---0770;3;1200;1000;975;367,560;45;GERB--1213_1200_1000;none;202208260000;202208310700;4;100
0091017600_03072022000020;0011130703;;0091017600;176ARA;671A11748R;SLI---0130;7;800;600;560;81,200;42;GERB--0588_800_600;widthwise;202207220000;202207271000;2;100
0091017600_03072022000021;0002901101;;0091017600;176FD2;850B29417R;ECM---3526;2;2200;1200;1450;376,520;45;GERB--0822_2200_1200;none;202207280000;202208261300;1;100
0091017600_03072022000022;0002814600;;0091017600;176ARA;764B22546R;SLI---0130;10;800;600;560;91,600;42;GERB--0588_800_600;widthwise;202207290000;202208291230;2;100
0091017600_03072022000023;0011130703;;0091017600;176ARA;756A49702R;SLI---0601;4;1200;1000;750;250,750;45;GERB--1213_1200_1000;none;202208290000;202209010700;5;100
0091017600_03072022000024;0002901101;;0091017600;176FD2;850178318R;SFDA--1121;3;2400;1200;975;305,600;45;GERB--0059_2400_1200;none;202208310000;202209051300;3;100
0091017600_03072022000025;0011130700;;0091017600;176ARA;510709125R;SLI---0130;5;800;600;560;84,640;42;GERB--0588_800_600;widthwise;202208250000;202208301000;3;100
0091017600_03072022000026;0002814600;;0091017600;176FD1;901765001R;CON-S-0130;4;780;570;478;96,970;47;GERB--3195_780_570;widthwise;202207200000;202207201230;3;4
0091017600_03072022000027;0002901101;;0091017600;176FD2;850B27697R;ECM---6828;1;2400;2200;1500;331,904;45;GERB--0440_2400_2200;none;202207290000;202208291300;5;100
0091017600_03072022000028;0011130703;;0091017600;176ARA;641667354R;SLI---0770;18;1200;1000;975;221,370;45;GERB--1213_1200_1000;none;202208260000;202208310700;2;100
0091017600_03072022000029;0025104304;;0091017600;176ARA;676019205R;SLI---0760;1;1200;1000;930;628,000;45;GERB--1213_1200_1000;none;202207260000;202207291000;16;100
0091017600_03072022000030;0011579600;;0091017600;176ARA;755105936R;SLI---0770;6;1200;1000;975;314,232;45;GERB--1213_1200_1000;none;202208260000;202208310700;7;100
0091017600_03072022000031;0027376000;;0091017600;176ARA;745746552R;SLI---0770;7;1200;1000;975;184,968;45;GERB--1213_1200_1000;none;202207260000;202207291000;5;100
0091017600_03072022000032;0027376000;;0091017600;176ARA;743221974R;SLI---0770;9;1200;1000;975;300,435;45;GERB--1213_1200_1000;none;202207210000;202207261000;4;100
0091017600_03072022000033;0011129700;;0091017600;176ARA;754191985R;SLI---0130;1;800;600;560;203,000;42;GERB--0588_800_600;widthwise;202207280000;202208261000;4;100
0091017600_03072022000034;0002571500;;0091017600;176FD1;843314002R;SLI---0130;26;800;600;560;135,500;42;GERB--0588_800_600;widthwise;202207270000;202208251700;4;100
0091017600_03072022000035;0002901101;;0091017600;176FD2;850B27602R;ECM---3807;1;2400;2200;1500;536,900;45;GERB--0440_2400_2200;none;202207180000;202207211300;5;100
