Item ident;Supplier code;Supplier dock;Plant code;Plant dock;Product code;Package code;Number of items;Length;Width;Height;Weight;Nesting height;Stackability code;Forced orientation;Earliest arrival time;Latest arrival time;Inventory cost;Max stackability
0090015100_03072022000001;0003699223;;0090015100;GCPL01;764A93693R;SLI---2112;1;1206;1010;1085;200,600;0;GERB--0528_1206_1010;none;202208260000;202209020815;24;100
0090015100_03072022000002;0007908418;;0090015100;G14327;762145FA0A;SLI---0770;2;1200;1000;975;393,480;45;GERB--1213_1200_1000;none;202207180000;202207210530;9;100
0090015100_03072022000003;0001925700;;0090015100;GCPL01;969355FA3A;SLI---2112;1;1206;1010;485;49,560;0;GERB--0528_1206_1010;none;202207060000;202207110630;18;100
0090015100_03072022000004;0027813500;;0090015100;G08520;272105FW0B;ECM---5548;4;2400;1200;630;272,000;40;GERB--0059_2400_1200;none;202208260000;202208310845;9;100
0090015100_03072022000005;0022091301;;0090015100;G14327;755115FB2A;MTEM--7743;4;1200;1200;1490;349,045;45;GERB--0041_1200_1200;none;202207200000;202207251015;3;100
0090015100_03072022000006;0007908407;;0090015100;G14327;766305FA0A;MTEM--7540;12;1605;1205;1030;342,664;45;GERB--0167_1605_1205;widthwise;202207180000;202207200600;4;100
0090015100_03072022000007;0022091301;;0090015100;G14327;751005FB0A;MTEM--7500;12;1605;1205;1490;373,480;45;GERB--0167_1605_1205;none;202208250000;202208300600;6;100
0090015100_03072022000008;0007908407;;0090015100;G14327;743P97329R;CON-S-0130;1;780;570;478;83,950;47;GERB--3195_780_570;widthwise;202207200000;202207220600;2;4
0090015100_03072022000009;0009624700;;0090015100;G08307;295X07809R;CFDA--3035;29;2280;1470;990;550,100;45;GERB--1552_2280_1470;none;202208230000;202208260845;20;100
0090015100_03072022000010;0001295500;;0090015100;GCPL01;484B24200R;SLI---2112;1;1206;1010;584;67,400;0;GERB--0528_1206_1010;none;202207130000;202207180715;16;100
