Supplier code;Supplier loading order;Supplier dock;Supplier dock loading order;Plant code;Plant dock;Plant dock loading order;Product code;Arrival time;Id truck;Length;Width;Height;Max weight;Stack with multiple docks;Max density;Max weight on the bottom item in stacks;Cost;EMmm;EMmr;CM;CJfm;CJfc;CJfh;EM;EJhr;EJcr;EJeh
0001295500;2;;2;0090015100;GCPL01;2;687811295R;202208310515;P243070305;13500;2440;3000;25000;0;1500;750;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0001295500;2;;2;0090015100;GCPL01;2;484784584R;202208310515;P243070305;13500;2440;3000;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0001295540;1;;1;0090015100;G08307;1;689216970R;202208310515;P243070305;13500;2440;3000;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0001295540;1;;1;0090015100;GCPL01;2;681081817R;202208310515;P243070305;13500;2440;3000;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0001295500;2;;2;0090015100;GCPL01;2;969727075R;202208310515;P243070305;13500;2440;3000;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0001295540;1;;1;0090015100;GCPL01;2;682119954R;202208310515;P243070305;13500;2440;3000;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0001295500;2;;2;0090015100;G08307;1;969308656R;202208310515;P243070305;13500;2440;3000;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0001295500;2;;2;0090015100;G08307;1;969252433R;202208310515;P243070305;13500;2440;3000;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0001295500;2;;2;0090015100;GCPL01;2;278408739R;202208310515;P243070305;13500;2440;3000;25000;0;1500;750;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0001295540;1;;1;0090015100;GCPL01;2;689217092R;202208310515;P243070305;13500;2440;3000;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0001295540;1;;1;0090015100;G08307;1;969368439R;202208310515;P243070305;13500;2440;3000;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0001295500;2;;2;0090015100;GCPL01;2;689204610R;202208310515;P243070305;13500;2440;3000;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0001295540;1;;1;0090015100;G08307;1;969107511R;202208310515;P243070305;13500;2440;3000;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0001295540;1;;1;0090015100;G08307;1;969124660R;202208310515;P243070305;13500;2440;3000;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0001295540;1;;1;0090015100;GCPL01;2;689217872R;202208310515;P243070305;13500;2440;3000;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0001295500;2;;2;0090015100;GCPL01;2;278714421R;202208310515;P243070305;13500;2440;3000;25000;0;1500;750;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0001295540;1;;1;0090015100;GCPL01;2;682118718R;202208310515;P243070305;13500;2440;3000;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0001295500;2;;2;0090015100;GCPL01;2;681049894R;202208310515;P243070305;13500;2440;3000;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0001295500;2;;2;0090015100;GCPL01;2;484780782R;202208310515;P243070305;13500;2440;3000;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0001295500;2;;2;0090015100;G08307;1;243B23954R;202208310515;P243070305;13500;2440;3000;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0001295540;1;;1;0090015100;G08307;1;689207268R;202208310515;P243070305;13500;2440;3000;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0001295540;1;;1;0090015100;G08307;1;689211284R;202208310515;P243070305;13500;2440;3000;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0001295540;1;;1;0090015100;GCPL01;2;969353056R;202208310515;P243070305;13500;2440;3000;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0001295540;1;;1;0090015100;G08307;1;689201545R;202208310515;P243070305;13500;2440;3000;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0001295540;1;;1;0090015100;GCPL01;2;689215381R;202208310515;P243070305;13500;2440;3000;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0001295540;1;;1;0090015100;G08307;1;969128835R;202208310515;P243070305;13500;2440;3000;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0001295500;2;;2;0090015100;GCPL01;2;681801652R;202208310515;P243070305;13500;2440;3000;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0001295540;1;;1;0090015100;G08307;1;969107207R;202208310515;P243070305;13500;2440;3000;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0001295500;2;;2;0090015100;GCPL01;2;484B24200R;202208310515;P243070305;13500;2440;3000;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0001295500;2;;2;0090015100;GCPL01;2;278406114R;202208310515;P243070305;13500;2440;3000;25000;0;1500;750;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0001295500;2;;2;0090015100;GCPL01;2;689209819R;202208310515;P243070305;13500;2440;3000;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0001295500;2;;2;0090015100;G08307;1;341016832R;202208310515;P243070305;13500;2440;3000;25000;0;1500;750;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0001295540;1;;1;0090015100;GCPL01;2;682408690R;202208310515;P243070305;13500;2440;3000;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
