Item ident;Supplier code;Supplier dock;Plant code;Plant dock;Product code;Package code;Number of items;Length;Width;Height;Weight;Nesting height;Stackability code;Forced orientation;Earliest arrival time;Latest arrival time;Inventory cost;Max stackability
0091017500_03072022000001;0090016100;F16;0091017500;175GR2;290A04PM0D;MFM---8086;11;1200;1000;975;867,000;45;GERB--1213_1200_1000;none;202209090000;202209141200;209;100
0091017500_03072022000002;0023850600;;0091017500;175GR2;328018902R;SLI---2112;1;1206;1010;1185;270,000;0;GERB--0528_1206_1010;none;202207220000;202207271200;28;100
0091017500_03072022000003;0027830500;;0091017500;175GR1;381018732R;ETM---4434;2;1275;1014;840;1117,810;140;GERB--0051_1275_1014;widthwise;202207070000;202207250800;19;3
0091017500_03072022000004;0011419800;;0091017500;175GR4;321013435R;SLI---1200;15;1600;1200;930;527,296;45;GERB--1613_1600_1200;widthwise;202207180000;202207251630;16;100
0091017500_03072022000005;0009500111;;0091017500;175GR2;322038746R;SLI---2112;1;1206;1010;681;592,700;0;GERB--0528_1206_1010;none;202207150000;202207200800;61;100
0091017500_03072022000006;0090016500;3PCHA;0091017500;175GR4;304016400R;SLI---1200;3;1600;1200;930;412,000;45;GERB--1613_1600_1200;widthwise;202207280000;202208261200;13;100
0091017500_03072022000007;0023850600;;0091017500;175GR2;328056384R;SLI---2112;1;1206;1010;879;845,750;0;GERB--0528_1206_1010;none;202207110000;202207111200;88;100
0091017500_03072022000008;0027830400;;0091017500;175GR1;322010184R;CON-S-0130;3;780;570;478;426,000;47;GERB--3195_780_570;widthwise;202207190000;202208300800;12;4
0091017500_03072022000009;0009516300;;0091017500;175GR1;8200298128;ETM---4434;6;1275;1014;840;1091,000;140;GERB--0051_1275_1014;widthwise;202207120000;202207281600;15;3
0091017500_03072022000010;0002819800;;0091017500;175GR1;8200272524;ETM---4434;3;1275;1014;840;1671,000;140;GERB--0051_1275_1014;widthwise;202207130000;202207131400;24;3
0091017500_03072022000011;0090016500;3PCHA;0091017500;175GR4;304016400R;SLI---1200;2;1600;1200;930;412,000;45;GERB--1613_1600_1200;widthwise;202208250000;202208300800;13;100
0091017500_03072022000012;0090016500;3PCHA;0091017500;175GR4;304016400R;SLI---1200;4;1600;1200;930;412,000;45;GERB--1613_1600_1200;widthwise;202207220000;202207271200;13;100
0091017500_03072022000013;0090016500;3PCHA;0091017500;175GR4;304016607R;SLI---1200;1;1600;1200;930;411,352;45;GERB--1613_1600_1200;widthwise;202207080000;202207131200;14;100
0091017500_03072022000014;0090016100;F16;0091017500;175GR2;290A04PM0D;MFM---8086;15;1200;1000;975;867,000;45;GERB--1213_1200_1000;none;202207180000;202207211200;209;100
0091017500_03072022000015;0042713300;;0091017500;175GR1;8200273780;CON-S-0130;2;780;570;478;382,500;47;GERB--3195_780_570;widthwise;202207040000;202207200900;7;4
0091017500_03072022000016;0002706302;;0091017500;175GR1;322B45928R;CON-S-0130;1;780;570;478;432,750;47;GERB--3195_780_570;widthwise;202207220000;202207271130;8;4
0091017500_03072022000017;0009500111;;0091017500;175GR2;314041099R;SLI---2112;1;1206;1010;879;836,300;0;GERB--0528_1206_1010;none;202207220000;202207270800;88;100
0091017500_03072022000018;0027830500;;0091017500;175GR1;381017317R;ETM---4434;7;1275;1014;840;1046,418;140;GERB--0051_1275_1014;widthwise;202207280000;202209080800;18;3
0091017500_03072022000019;0090016500;1GRA;0091017500;175GR1;8200385914;CON-S-0130;5;780;570;478;156,960;47;GERB--3195_780_570;widthwise;202208300000;202209020800;12;4
0091017500_03072022000020;0002706302;;0091017500;175GR1;323703702R;CON-S-0130;8;780;570;478;401,400;47;GERB--3195_780_570;widthwise;202209080000;202209130900;8;4
0091017500_03072022000021;0042713300;;0091017500;175GR1;8200273779;CON-S-0130;4;780;570;478;388,500;47;GERB--3195_780_570;widthwise;202207040000;202207200900;8;4
0091017500_03072022000022;0002706302;;0091017500;175GR1;381011573R;ETM---4434;3;1275;1014;840;1308,360;140;GERB--0051_1275_1014;widthwise;202209050000;202209051130;22;3
0091017500_03072022000023;0011711300;;0091017500;175GR1;322517990R;CON-S-0130;5;780;570;478;377,250;47;GERB--3195_780_570;widthwise;202209060000;202209061100;7;4
0091017500_03072022000024;0002819800;;0091017500;175GR1;322017824R;ETM---4434;10;1275;1014;840;1594,050;140;GERB--0051_1275_1014;widthwise;202208290000;202209141400;24;3
0091017500_03072022000025;0027830500;;0091017500;175GR1;323735283R;CON-S-0130;4;780;570;478;427,500;47;GERB--3195_780_570;widthwise;202207010000;202207140800;9;4
0091017500_03072022000026;0090016500;3PCHA;0091017500;175GR4;304011184R;SLI---1200;10;1600;1200;930;419,200;45;GERB--1613_1600_1200;widthwise;202208300000;202209020800;13;100
0091017500_03072022000027;0009500407;;0091017500;175GR2;384217791R;ETM---4434;21;1275;1014;840;1106,500;140;GERB--0051_1275_1014;widthwise;202207190000;202207191400;14;3
0091017500_03072022000028;0042713300;;0091017500;175GR1;322511257R;CON-S-0130;2;780;570;478;424,000;47;GERB--3195_780_570;widthwise;202207200000;202208310900;7;4
0091017500_03072022000029;0090016500;3PCHA;0091017500;175GR2;384108821R;CAR-S*2991;1;1140;980;860;619,256;0;GERB--7391_1140_980;none;202207120000;202207151200;38;100
0091017500_03072022000030;0011711300;;0091017500;175GR1;8200886770;CON-S-0130;4;780;570;478;303,960;47;GERB--3195_780_570;widthwise;202209080000;202209131100;5;4
0091017500_03072022000031;0023850600;;0091017500;175GR2;329511951R;SLI---2112;3;1206;1010;1185;216,400;0;GERB--0528_1206_1010;none;202209050000;202209081200;25;100
0091017500_03072022000032;0090016500;3PCHA;0091017500;175GR4;321018540R;SLI---1200;22;1600;1200;930;370,000;45;GERB--1613_1600_1200;widthwise;202207070000;202207121200;11;100
0091017500_03072022000033;0023850600;;0091017500;175GR2;328010450R;SLI---2112;2;1206;1010;1185;378,900;0;GERB--0528_1206_1010;none;202208310000;202209051200;23;100
0091017500_03072022000034;0023850600;;0091017500;175GR2;329511951R;SLI---2112;1;1206;1010;1185;216,400;0;GERB--0528_1206_1010;none;202207140000;202207191200;25;100
0091017500_03072022000035;0027830500;;0091017500;175GR1;323735283R;CON-S-0130;1;780;570;478;427,500;47;GERB--3195_780_570;widthwise;202207010000;202207190800;9;4
0091017500_03072022000036;0090016500;1GRA;0091017500;175GR1;8200444619;CON-S-0130;1;780;570;478;146,376;47;GERB--3195_780_570;widthwise;202207120000;202207151200;13;4
0091017500_03072022000037;0090016500;3PCHA;0091017500;175GR4;321017795R;SLI---1200;3;1600;1200;930;366,000;45;GERB--1613_1600_1200;widthwise;202207260000;202207291200;11;100
0091017500_03072022000038;0002706302;;0091017500;175GR1;381019064R;ETM---4434;4;1275;1014;840;1380,940;140;GERB--0051_1275_1014;widthwise;202209190000;202209191130;22;3
0091017500_03072022000039;0027830500;;0091017500;175GR1;323735283R;CON-S-0130;4;780;570;478;427,500;47;GERB--3195_780_570;widthwise;202207010000;202207180800;9;4
0091017500_03072022000040;0090016100;F16;0091017500;175GR2;290A04PM0D;MFM---8086;9;1200;1000;975;867,000;45;GERB--1213_1200_1000;none;202207220000;202207271200;209;100
0091017500_03072022000041;0090016500;3PCHA;0091017500;175GR4;304016000R;SLI---1200;2;1600;1200;930;412,216;45;GERB--1613_1600_1200;widthwise;202207110000;202207111200;11;100
0091017500_03072022000042;0002706302;;0091017500;175GR1;8201608592;CON-S-0130;11;780;570;478;322,000;47;GERB--3195_780_570;widthwise;202208250000;202208300900;6;4
0091017500_03072022000043;0009500111;;0091017500;175GR2;384429459R;SLI---2112;1;1206;1010;879;690,980;0;GERB--0528_1206_1010;none;202207150000;202207200800;97;100
0091017500_03072022000044;0042713300;;0091017500;175GR1;8200273780;CON-S-0130;1;780;570;478;382,500;47;GERB--3195_780_570;widthwise;202208250000;202209120900;7;4
0091017500_03072022000045;0023850600;;0091017500;175GR2;328141509R;SLI---2112;3;1206;1010;1185;325,500;0;GERB--0528_1206_1010;none;202209020000;202209071200;21;100
