Item ident;Supplier code;Supplier dock;Plant code;Plant dock;Product code;Package code;Number of items;Length;Width;Height;Weight;Nesting height;Stackability code;Forced orientation;Earliest arrival time;Latest arrival time;Inventory cost;Max stackability
0090016200_03072022000001;0002573223;;0090016200;GPFREV;465033751R;SLI---2112;3;1206;1010;1185;228,900;0;GERB--0528_1206_1010;none;202209010000;202209070630;10;100
0090016200_03072022000002;0025767300;;0090016200;GPFREV;751751459R;SLI---1101;3;1900;1200;750;793,144;45;GERB--0109_1900_1200;none;202209050000;202209120645;15;100
0090016200_03072022000003;0001295511;;0090016200;GPFREV;689213838R;SLI---2112;1;1206;1010;485;45,838;0;GERB--0528_1206_1010;none;202209070000;202209090845;6;100
0090016200_03072022000004;0001295511;;0090016200;GPFREV;802754481R;SLI---2112;1;1206;1010;285;50,700;0;GERB--0528_1206_1010;none;202207110000;202207130845;69;100
0090016200_03072022000005;0005932500;;0090016200;G063B;488101413R;SFDA--9347;4;1200;1000;975;329,680;45;GERB--1213_1200_1000;none;202207150000;202207190615;18;100
0090016200_03072022000006;0006701102;;0090016200;G024G1;144612076R;SFDA--0122;12;1600;1200;750;206,510;45;GERB--1613_1600_1200;none;202207190000;202207220915;7;100
0090016200_03072022000007;0040741601;;0090016200;G014B1;625008990R;SFDA--1154;4;2400;1200;975;338,320;45;GERB--0059_2400_1200;none;202207080000;202207111145;3;100
0090016200_03072022000008;0040771302;;0090016200;GPFREV;227953878R;SLI---2112;1;1206;1010;1185;292,400;0;GERB--0528_1206_1010;none;202208240000;202209091045;16;100
0090016200_03072022000009;0028610400;;0090016200;G014B1;279602192R;SLI---0770;2;1200;1000;975;142,560;45;GERB--1213_1200_1000;none;202207190000;202207220715;4;100
0090016200_03072022000010;0026610800;;0090016200;G094R;756847511R;SLI---0601;5;1200;1000;750;218,360;45;GERB--1213_1200_1000;none;202209010000;202209060745;5;100
0090016200_03072022000011;0024979000;;0090016200;G094R;763917784R;SLI---0901;5;1600;1200;750;220,320;45;GERB--1613_1600_1200;none;202207190000;202207210800;6;100
0090016200_03072022000012;0007562710;;0090016200;G094R;658243974R;SLI---2112;1;1206;1010;285;32,930;0;GERB--0528_1206_1010;none;202207050000;202207081035;92;100
0090016200_03072022000013;0028134601;;0090016200;GPFREV;490043642R;ECM---5255;5;1675;1200;1493;787,200;45;GERB--0577_1675_1200;none;202207200000;202207270930;74;100
0090016200_03072022000014;0028879100;;0090016200;G094R;756286429R;SLI---0601;4;1200;1000;750;214,620;45;GERB--1213_1200_1000;none;202209060000;202209080800;6;100
0090016200_03072022000015;0028610400;;0090016200;G014B1;278326482R;SLI---0770;2;1200;1000;975;142,200;45;GERB--1213_1200_1000;none;202209060000;202209090715;2;100
