Item ident;Supplier code;Supplier dock;Plant code;Plant dock;Product code;Package code;Number of items;Length;Width;Height;Weight;Nesting height;Stackability code;Forced orientation;Earliest arrival time;Latest arrival time;Inventory cost;Max stackability
0091017700_03072022000001;0026551501;;0091017700;177GRI;151985418R;SLI---2112;1;1206;1010;1185;213,900;0;GERB--0528_1206_1010;none;202207180000;202207210700;38;100
0091017700_03072022000002;0023376100;;0091017700;177GRG;122010301R;SLI---0601;7;1200;1000;750;1066,920;45;GERB--1213_1200_1000;none;202207130000;202207181800;20;100
0091017700_03072022000003;0002496900;;0091017700;177GRF;168130812R;SLI---2112;1;1206;1010;1185;381,300;0;GERB--0528_1206_1010;none;202207060000;202207110930;34;100
0091017700_03072022000004;0002637700;;0091017700;177GRF;123101804R;MFM---0300;1;1200;1000;930;839,240;45;GERB--1213_1200_1000;none;202207180000;202207212100;46;100
0091017700_03072022000005;0090016500;1GRA;0091017700;177GRF;150100347R;SLI---2112;19;1206;1010;985;285,400;0;GERB--0528_1206_1010;none;202207120000;202207152000;35;100
0091017700_03072022000006;0003699209;;0091017700;177GRF;165763262R;SLI---2112;7;1206;1010;1085;122,390;0;GERB--0528_1206_1010;none;202207190000;202207221530;20;100
0091017700_03072022000007;0002637700;;0091017700;177GRF;123107079R;MFM---0300;5;1200;1000;930;711,000;45;GERB--1213_1200_1000;none;202207190000;202207220600;49;100
0091017700_03072022000008;0090016500;1GRA;0091017700;177GRE;8201719187;SFDA--3012;1;1200;1000;750;868,744;45;GERB--1213_1200_1000;none;202207290000;202207291600;35;100
0091017700_03072022000009;0026551501;;0091017700;177GRI;210457203R;SLI---2112;2;1206;1010;1085;207,800;0;GERB--0528_1206_1010;none;202207280000;202208250700;19;100
0091017700_03072022000010;0090016500;1GRA;0091017700;177GRF;111105173R;SFDA--9022;1;1200;1000;975;281,840;45;GERB--1213_1200_1000;none;202207140000;202207191200;10;100
0091017700_03072022000011;0090016500;1GRA;0091017700;177GRF;111105173R;SFDA--9022;10;1200;1000;975;281,840;45;GERB--1213_1200_1000;none;202207290000;202208262000;10;100
0091017700_03072022000012;0026367200;;0091017700;177GRI;320936701R;SLI---2112;1;1206;1010;1185;379,900;0;GERB--0528_1206_1010;none;202207200000;202207251600;15;100
0091017700_03072022000013;0008443308;;0091017700;177GRI;224015847R;SLI---0770;1;1200;1000;975;153,450;45;GERB--1213_1200_1000;none;202207270000;202208241700;404;100
0091017700_03072022000014;0025348700;;0091017700;177GRF;208A06189R;SFDA--9280;4;1200;1000;975;326,000;45;GERB--1213_1200_1000;none;202207210000;202207262230;123;100
0091017700_03072022000015;0002928900;;0091017700;177GRF;132657536R;SLI---0770;48;1200;1000;975;168,960;45;GERB--1213_1200_1000;none;202207130000;202207181600;4;100
0091017700_03072022000016;0002637700;;0091017700;177GRF;123104593R;MFM---0300;2;1200;1000;930;796,120;45;GERB--1213_1200_1000;none;202207150000;202207202100;32;100
