Item ident;Supplier code;Supplier dock;Plant code;Plant dock;Product code;Package code;Number of items;Length;Width;Height;Weight;Nesting height;Stackability code;Forced orientation;Earliest arrival time;Latest arrival time;Inventory cost;Max stackability
0091017200_03072022000001;0002888802;;0091017200;172PF2;403150709R;SLI---2112;1;1206;1010;1085;291,500;0;GERB--0528_1206_1010;none;202208300000;202209050800;118;100
0091017200_03072022000002;0002562800;;0091017200;172PF2;822216863R;SFDA--9224;1;1200;1000;975;194,112;45;GERB--1213_1200_1000;none;202209080000;202209131030;6;100
0091017200_03072022000003;0012008400;;0091017200;172PF2;828651209R;SLI---2112;1;1206;1010;1391;90,200;0;GERB--0528_1206_1010;none;202208310000;202209060930;6;100
0091017200_03072022000004;0002573211;;0091017200;172PF2;745871597R;SLI---0770;12;1200;1000;975;191,088;45;GERB--1213_1200_1000;none;202209050000;202209080830;5;100
0091017200_03072022000005;0012008400;;0091017200;172PF2;828657657R;SLI---2112;1;1206;1010;485;38,420;0;GERB--0528_1206_1010;none;202207140000;202207190930;24;100
0091017200_03072022000006;0002586306;;0091017200;172PF2;749520344R;SLI---1200;1;1600;1200;930;142,120;45;GERB--1613_1600_1200;widthwise;202208240000;202208291030;3;100
0091017200_03072022000007;0002573209;;0091017200;172PF2;752616137R;SLI---0760;1;1200;1000;930;304,840;45;GERB--1213_1200_1000;none;202208240000;202208291030;7;100
0091017200_03072022000008;0025767400;;0091017200;172PF2;909047683R;SFDA--9598;2;1200;1000;975;158,850;45;GERB--1213_1200_1000;none;202209010000;202209070630;2;100
0091017200_03072022000009;0011130703;;0091017200;172PF2;755389942R;SLI---0770;1;1200;1000;975;260,040;45;GERB--1213_1200_1000;none;202209190000;202209261000;5;100
0091017200_03072022000010;0025767400;;0091017200;172SPL;769132979R;SFDA--3056;2;1200;1000;750;120,588;45;GERB--1213_1200_1000;none;202207080000;202207131145;2;100
0091017200_03072022000011;0002573209;;0091017200;172PF2;658681508R;SLI---0130;3;800;600;560;56,200;42;GERB--0588_800_600;none;202208170000;202208221030;2;100
0091017200_03072022000012;0005124500;;0091017200;172PF2;484009066R;SLI---2112;1;1206;1010;1426;145,940;0;GERB--0528_1206_1010;none;202209080000;202209130630;53;100
0091017200_03072022000013;0002586306;;0091017200;172PF2;749786922R;SLI---2112;1;1206;1010;1085;92,060;0;GERB--0528_1206_1010;none;202207060000;202207111030;4;100
0091017200_03072022000014;0025860700;;0091017200;172PF2;112102590R;SLI---2112;1;1206;1010;985;287,200;0;GERB--0528_1206_1010;none;202208260000;202208310630;76;2
0091017200_03072022000015;0006701102;;0091017200;172PF2;214106UB0B;SLI---1200;4;1600;1200;930;206,380;45;GERB--1613_1600_1200;widthwise;202208180000;202208240930;5;100
0091017200_03072022000016;0000239406;;0091017200;172PF2;809A67502R;SLI---2112;1;1206;1010;982;122,000;0;GERB--0528_1206_1010;none;202209010000;202209071230;184;100
0091017200_03072022000017;0002504100;;0091017200;172PF2;214F69083R;SFDA--9877;3;1200;1000;975;166,216;45;GERB--1213_1200_1000;none;202208260000;202208310800;6;100
0091017200_03072022000018;0025767400;;0091017200;172SPL;769146987R;SFDA--3056;3;1200;1000;750;120,588;45;GERB--1213_1200_1000;none;202208160000;202208190630;2;100
0091017200_03072022000019;0091017600;PCINY1;0091017200;172GR10;631007356R;MTEM--6670;9;2400;1200;1490;290,600;45;GERB--0356_2400_1200;widthwise;202209150000;202209200800;5;100
0091017200_03072022000020;0091017600;PCINY1;0091017200;172SPL;625005741R;SLI---2000;7;2400;1200;975;361,660;45;GERB--0059_2400_1200;widthwise;202209200000;202209240800;4;100
0091017200_03072022000021;0002573911;;0091017200;172PF1;823011776R;CON-S-0355;1;1195;1000;885;587,960;45;GERB--0546_1195_1000;none;202209080000;202209130620;8;100
0091017200_03072022000022;0006701103;;0091017200;172PF2;214108896R;SLI---0770;11;1200;1000;975;143,760;45;GERB--1213_1200_1000;none;202209090000;202209140815;3;100
0091017200_03072022000023;0040149102;;0091017200;172PF2;410108272R;PAL-S-0456;1;1090;1090;820;630,700;0;GERB--4088_1090_1090;none;202209200000;202209260930;27;1
0091017200_03072022000024;0025767400;;0091017200;172SPL;933019921R;KFDA--0142;1;1209;1007;750;54,865;25;GERB--2034_1209_1007;none;202207060000;202207110630;1;100
0091017200_03072022000025;0002586307;;0091017200;172SPL;749024551R;ECM---8577;1;2000;1600;980;406,000;45;GERB--0269_2000_1600;none;202207080000;202207130630;6;100
0091017200_03072022000026;0041223901;;0091017200;172PF2;208023544R;SLI---0770;6;1200;1000;975;249,384;45;GERB--1213_1200_1000;none;202209050000;202209081030;39;100
0091017200_03072022000027;0091017600;PCINY1;0091017200;172GR10;631014309R;MTEM--6669;6;2400;1200;1490;290,600;45;GERB--0356_2400_1200;widthwise;202208230000;202208271215;5;100
0091017200_03072022000028;0042684502;;0091017200;172PF2;805023997R;SLI---2112;2;1206;1010;1181;189,040;0;GERB--0528_1206_1010;none;202207120000;202207180700;24;100
0091017200_03072022000029;0002562800;;0091017200;172PF2;769236154R;SLI---0770;1;1200;1000;975;166,140;45;GERB--1213_1200_1000;none;202207070000;202207121030;5;100
0091017200_03072022000030;0025767400;;0091017200;172SPL;769155961R;KFDA--0136;3;1209;1007;990;79,136;25;GERB--2034_1209_1007;none;202208290000;202209011145;1;100
