Item ident;Supplier code;Supplier dock;Plant code;Plant dock;Product code;Package code;Number of items;Length;Width;Height;Weight;Nesting height;Stackability code;Forced orientation;Earliest arrival time;Latest arrival time;Inventory cost;Max stackability
0090038200_03072022000001;0040771302;;0090038200;GT;673397920R;SFD---0130;3;780;570;478;190,880;47;GERB--3195_780_570;none;202207150000;202207190200;4;100
0090038200_03072022000002;0042512400;;0090038200;GM01;924906429R;SFD---2112;1;1206;1010;1085;156,500;0;GERB--0528_1206_1010;none;202208010000;202208042101;19;100
0090038200_03072022000003;0025315000;;0090038200;GM04;201005993R;SFD---0770;4;1200;1000;975;298,440;45;GERB--1213_1200_1000;none;202208060000;202208241700;8;100
0090038200_03072022000004;0041800101;;0090038200;GM04;768191080R;SFDA--3079;5;1200;1000;750;127,812;45;GERB--1213_1200_1000;none;202208290000;202209012359;3;100
0090038200_03072022000005;0042022700;;0090038200;GM03;758926309R;SFD---0770;3;1200;1000;975;177,216;45;GERB--1213_1200_1000;none;202209010000;202209051915;2;100
0090038200_03072022000006;0042512400;;0090038200;GM01;924802455R;SFD---2112;2;1206;1010;1085;192,800;0;GERB--0528_1206_1010;none;202208010000;202208042101;24;100
0090038200_03072022000007;0042008900;;0090038200;GT;625189904R;SFD---0760;1;1200;1000;930;343,800;45;GERB--1213_1200_1000;none;202207290000;202208021300;5;100
0090038200_03072022000008;0041023400;;0090038200;GM02;462838808R;CBO-S-0334;1;2900;1140;320;326,690;0;GERB--5858_2900_1140;none;202208220000;202208250150;16;100
0090038200_03072022000009;0001349831;;0090038200;GM03;282438934R;SFD---2112;2;1206;1010;1085;143,360;0;GERB--0528_1206_1010;none;202208040000;202208050900;16;100
0090038200_03072022000010;0025868701;;0090038200;GUP5;403000419R;PAL-S-0538;1;1358;1153;1340;432,240;45;GERB--7169_1358_1153;none;202208270000;202208310400;7;100
0090038200_03072022000011;0025315000;;0090038200;GM04;201005993R;SFD---0770;9;1200;1000;975;298,440;45;GERB--1213_1200_1000;none;202208270000;202208311700;8;100
0090038200_03072022000012;0042022700;;0090038200;GM03;214F60895R;SFD---0770;8;1200;1000;975;145,680;45;GERB--1213_1200_1000;none;202208230000;202208261915;4;100
0090038200_03072022000013;0040771302;;0090038200;GT;751323060R;SFD---0770;9;1200;1000;975;299,600;45;GERB--1213_1200_1000;none;202207150000;202207190200;4;100
0090038200_03072022000014;0040771302;;0090038200;GT;755537506R;SFD---0770;7;1200;1000;975;352,448;45;GERB--1213_1200_1000;none;202207290000;202208020200;4;100
0090038200_03072022000015;0042193400;;0090038200;GM03;963015485R;SFD---2112;1;1206;1010;1085;131,180;0;GERB--0528_1206_1010;none;202208300000;202208302245;7;100
0090038200_03072022000016;0040771302;;0090038200;GT;755522051R;SFD---0770;9;1200;1000;975;352,448;45;GERB--1213_1200_1000;none;202207190000;202207220200;4;100
0090038200_03072022000017;0042518500;;0090038200;GM01;488109020R;SFDA--9358;26;1200;1000;975;321,000;45;GERB--1213_1200_1000;none;202207180000;202207190400;29;100
0090038200_03072022000018;0028306200;;0090038200;GM03;896572025R;SFD---0770;6;1200;1000;975;141,816;45;GERB--1213_1200_1000;none;202207260000;202207291200;2;100
0090038200_03072022000019;0001349831;;0090038200;GM03;240112157S;SFD---2112;12;1206;1010;1391;193,076;0;GERB--0528_1206_1010;none;202209030000;202209050900;29;100
0090038200_03072022000020;0042512400;;0090038200;GM01;924808540R;SFD---2112;1;1206;1010;1181;242,520;0;GERB--0528_1206_1010;none;202208010000;202208042101;21;100
0090038200_03072022000021;0001349831;;0090038200;GM03;240114282S;SFD---2112;1;1206;1010;485;30,600;0;GERB--0528_1206_1010;none;202207300000;202208010900;26;100
0090038200_03072022000022;0042189300;;0090038200;GM02;823016954R;CON-S-0477;4;1200;1000;880;531,000;90;GERB--0156_1200_1000;none;202207260000;202207291400;7;100
0090038200_03072022000023;0041647900;;0090038200;GM02;391014849R;SFDA--9653;2;1200;1000;975;735,800;45;GERB--1213_1200_1000;none;202208310000;202208311700;33;100
0090038200_03072022000024;0041800101;;0090038200;GM04;768183421R;SFDA--3079;7;1200;1000;750;127,812;45;GERB--1213_1200_1000;none;202207260000;202207292359;3;100
0090038200_03072022000025;0040771302;;0090038200;GT;732265868R;SFD---0130;1;780;570;478;106,070;47;GERB--3195_780_570;none;202207250000;202207280200;2;100
0090038200_03072022000026;0025315000;;0090038200;GM04;747518730R;SFD---1200;6;1600;1200;930;299,776;45;GERB--1613_1600_1200;none;202207190000;202207221700;8;100
0090038200_03072022000027;0040771302;;0090038200;GM01;755926737R;SFD---2112;1;1206;1010;585;187,200;0;GERB--0528_1206_1010;none;202207220000;202207260200;34;100
0090038200_03072022000028;0042610700;;0090038200;GM02;476600974R;SFD---0770;2;1200;1000;975;238,104;45;GERB--1213_1200_1000;none;202208020000;202208021845;39;100
