Item ident;Supplier code;Supplier dock;Plant code;Plant dock;Product code;Package code;Number of items;Length;Width;Height;Weight;Nesting height;Stackability code;Forced orientation;Earliest arrival time;Latest arrival time;Inventory cost;Max stackability
0090018400_03072022000001;0027095301;;0090018400;184GRB1;319249230R;SLI---2112;1;1206;1010;1185;502,900;0;GERB--0528_1206_1010;none;202209060000;202209091100;213;100
0090018400_03072022000002;0011106024;;0090018400;184GRA1;297A33828R;SLI---2112;36;1206;1010;1181;238,200;0;GERB--0528_1206_1010;none;202207180000;202207181600;61;100
0090018400_03072022000003;0005083600;;0090018400;184GRA1;328826000R;SLI---2112;1;1206;1010;1185;561,900;0;GERB--0528_1206_1010;none;202207130000;202207131100;119;100
0090018400_03072022000004;0002706302;;0090018400;184GRB4;314L40702R;SLI---0130;3;800;600;560;455,200;42;GERB--0588_800_600;none;202208180000;202208231315;9;100
0090018400_03072022000005;0002706302;;0090018400;184GRB4;314L48780R;SLI---0130;4;800;600;560;368,750;42;GERB--0588_800_600;none;202207060000;202207111315;7;100
0090018400_03072022000006;0011106024;;0090018400;184GRA1;297A33828R;SLI---2112;18;1206;1010;1181;238,200;0;GERB--0528_1206_1010;none;202208190000;202208221600;61;100
0090018400_03072022000007;0011711300;;0090018400;184GRB4;322B54991R;SLI---0130;5;800;600;560;396,800;42;GERB--0588_800_600;none;202209020000;202209071315;6;100
0090018400_03072022000008;0002706302;;0090018400;184GRA1;314L29983R;SLI---0130;3;800;600;560;396,380;42;GERB--0588_800_600;none;202208220000;202208251315;8;100
0090018400_03072022000009;0042369000;;0090018400;184GRA1;328965033R;SLI---2112;38;1206;1010;1185;315,900;0;GERB--0528_1206_1010;none;202208300000;202209020945;137;100
0090018400_03072022000010;0005083600;;0090018400;184GRB1;328174060R;SLI---2112;1;1206;1010;1185;501,900;0;GERB--0528_1206_1010;none;202207130000;202207131100;57;100
0090018400_03072022000011;0009500111;;0090018400;184GRB1;384421170R;SLI---2112;1;1206;1010;681;624,650;0;GERB--0528_1206_1010;none;202207190000;202207220945;44;1
0090018400_03072022000012;0002706302;;0090018400;184GRB4;314L35506R;SLI---0130;2;800;600;560;395,000;42;GERB--0588_800_600;none;202207200000;202207251315;11;100
0090018400_03072022000013;0009500111;;0090018400;184GRB1;384420975R;SLI---2112;1;1206;1010;681;549,500;0;GERB--0528_1206_1010;none;202209060000;202209090945;46;1
0090018400_03072022000014;0027095301;;0090018400;184GRB1;319244165R;SLI---2112;1;1206;1010;1185;495,900;0;GERB--0528_1206_1010;none;202208160000;202208191100;232;100
0090018400_03072022000015;0002706302;;0090018400;184GRB4;314L34184R;SLI---0130;5;800;600;560;416,000;42;GERB--0588_800_600;none;202207080000;202207131315;7;100
0090018400_03072022000016;0011711300;;0090018400;184GRB4;322307386R;SLI---0130;7;800;600;560;461,280;42;GERB--0588_800_600;none;202207120000;202207181315;7;100
0090018400_03072022000017;0002706302;;0090018400;184GRB4;314L35506R;SLI---0130;3;800;600;560;395,000;42;GERB--0588_800_600;none;202209070000;202209121315;11;100
0090018400_03072022000018;0011711300;;0090018400;184GRB4;322505700R;SLI---0130;4;800;600;560;356,820;42;GERB--0588_800_600;none;202207250000;202207281315;6;100
0090018400_03072022000019;0011711300;;0090018400;184GRB4;322B54991R;SLI---0130;5;800;600;560;396,800;42;GERB--0588_800_600;none;202207110000;202207111315;6;100
