Item ident;Supplier code;Supplier dock;Plant code;Plant dock;Product code;Package code;Number of items;Length;Width;Height;Weight;Nesting height;Stackability code;Forced orientation;Earliest arrival time;Latest arrival time;Inventory cost;Max stackability
0090017100_03072022000001;0090019100;GR G0;0090017100;171B38;732H96050R;SLI---0760;3;1200;1000;930;350,800;45;GERB--1213_1200_1000;none;202207070000;202207121830;6;100
0090017100_03072022000002;0011509701;;0090017100;171V39;924382711R;SLI---2112;2;1206;1010;485;60,200;0;GERB--0528_1206_1010;none;202208180000;202208231730;9;100
0090017100_03072022000003;0005267103;;0090017100;171V39;758A67467R;SLI---2112;1;1206;1010;485;78,450;0;GERB--0528_1206_1010;none;202207220000;202207270615;450;100
0090017100_03072022000004;0023989200;;0090017100;171B38;763134401R;MTEM--5845;2;1605;1205;990;316,684;45;GERB--0167_1605_1205;none;202209020000;202209061800;5;100
0090017100_03072022000005;0024123500;;0090017100;171CS1;924719601R;SLI---2000;1;2400;1200;975;424,000;45;GERB--0059_2400_1200;none;202208310000;202209021745;13;100
0090017100_03072022000006;0002425700;;0090017100;171C25;788128017R;SLI---1200;1;1600;1200;930;191,714;45;GERB--1613_1600_1200;none;202207280000;202208160645;3;100
0090017100_03072022000007;0023989200;;0090017100;171B38;760748411R;SLI---2112;1;1206;1010;385;77,560;0;GERB--0528_1206_1010;none;202208240000;202208260515;12;100
0090017100_03072022000008;0025356301;;0090017100;171C12;963740752R;SLI---2112;1;1206;1010;1083;113,900;0;GERB--0528_1206_1010;none;202209070000;202209090815;24;100
0090017100_03072022000009;0025356300;;0090017100;171C25;963029260R;SLI---2112;1;1206;1010;1341;149,640;0;GERB--0528_1206_1010;none;202208300000;202209010530;20;100
0090017100_03072022000010;0026610800;;0090017100;171B38;732496913R;SLI---0760;1;1200;1000;930;286,000;45;GERB--1213_1200_1000;none;202207060000;202207080515;4;100
0090017100_03072022000011;0006750401;;0090017100;171C43;233001791R;CAR-G*1C-5;6;1200;1000;1150;521,300;0;GERB--3551_1200_1000;none;202209060000;202209080830;52;1
0090017100_03072022000012;0023989200;;0090017100;171B38;754904293R;SLI---0770;1;1200;1000;975;551,720;45;GERB--1213_1200_1000;none;202209010000;202209050505;12;100
0090017100_03072022000013;0025169803;;0090017100;171C12;344133490R;SLI---1200;6;1600;1200;930;542,200;45;GERB--1613_1600_1200;none;202207270000;202208161545;37;100
0090017100_03072022000014;0007908422;;0090017100;171B38;904002391R;CON-S-0130;1;780;570;478;88,080;47;GERB--3195_780_570;widthwise;202208220000;202208240815;7;4
0090017100_03072022000015;0011511902;;0090017100;171C12;878242668R;SLI---2112;1;1206;1010;681;483,500;0;GERB--0528_1206_1010;none;202208220000;202208250815;24;100
0090017100_03072022000016;0022102700;;0090017100;171C12;995015435R;SLI---0770;30;1200;1000;975;271,800;45;GERB--1213_1200_1000;none;202209070000;202209091415;5;100
0090017100_03072022000017;0021660800;;0090017100;171V39;964005731R;SLI---2112;2;1206;1010;1391;180,440;0;GERB--0528_1206_1010;none;202207290000;202208170815;9;100
