Item ident;Supplier code;Supplier dock;Plant code;Plant dock;Product code;Package code;Number of items;Length;Width;Height;Weight;Nesting height;Stackability code;Forced orientation;Earliest arrival time;Latest arrival time;Inventory cost;Max stackability
0090038300_03072022000001;0028276401;;0090038300;383G4P;241254729R;SFD---2112;1;1206;1010;485;89,640;0;GERB--0528_1206_1010;none;202207230000;202207271945;17;100
0090038300_03072022000002;0040452900;;0090038300;383G4P;289747002R;SFD---2112;1;1206;1010;485;84,400;0;GERB--0528_1206_1010;none;202207150000;202207191930;60;100
0090038300_03072022000003;0042095900;;0090038300;383G4B;963028327R;SFD---2112;1;1206;1010;1255;88,680;0;GERB--0528_1206_1010;none;202207220000;202207261445;10;100
0090038300_03072022000004;0029333100;;0090038300;383G4B;215589978R;SFD---0770;16;1200;1000;975;136,400;45;GERB--1213_1200_1000;none;202207250000;202207281745;1;100
0090038300_03072022000005;0025315000;;0090038300;383G4C;747510075R;SFD---1200;5;1600;1200;930;243,656;45;GERB--1613_1600_1200;none;202209010000;202209050600;5;100
0090038300_03072022000006;0025315000;;0090038300;383G4C;747618673R;SFD---0770;1;1200;1000;975;208,200;45;GERB--1213_1200_1000;none;202208050000;202208240600;8;100
0090038300_03072022000007;0028276401;;0090038300;383G4P;240101049R;SFD---2112;1;1206;1010;787;81,584;0;GERB--0528_1206_1010;none;202207250000;202207281945;22;100
0090038300_03072022000008;0042065700;;0090038300;383G4P;668926644R;SFD---2112;1;1206;1010;785;139,000;0;GERB--0528_1206_1010;none;202208230000;202208261915;22;100
0090038300_03072022000009;0025315000;;0090038300;383G5A;791203672R;SFD---1200;1;1600;1200;930;318,180;45;GERB--1613_1600_1200;none;202207190000;202207222100;4;100
0090038300_03072022000010;0042202600;;0090038300;383G4B;683109278R;SFD---2112;1;1206;1010;485;49,820;0;GERB--0528_1206_1010;none;202208030000;202208061200;9;100
0090038300_03072022000011;0025315000;;0090038300;383G4C;205400884R;SFD---0770;1;1200;1000;975;173,538;45;GERB--1213_1200_1000;none;202209050000;202209080600;4;100
0090038300_03072022000012;0028276401;;0090038300;383G4P;241257506R;SFD---2112;2;1206;1010;1085;231,950;0;GERB--0528_1206_1010;none;202207150000;202207191945;54;100
0090038300_03072022000013;0041609500;;0090038300;383G4P;768C48799R;SFD---2112;1;1206;1010;787;48,440;0;GERB--0528_1206_1010;none;202209030000;202209072100;5;100
0090038300_03072022000014;0041647900;;0090038300;383G4B;391013501R;SFDA--9653;5;1200;1000;975;637,240;45;GERB--1213_1200_1000;none;202208290000;202209011815;31;100
0090038300_03072022000015;0028276401;;0090038300;383G4P;241254109R;SFD---2112;1;1206;1010;485;80,775;0;GERB--0528_1206_1010;none;202209050000;202209081945;27;100
0090038300_03072022000016;0028276401;;0090038300;383G4P;240104097R;SFD---2112;1;1206;1010;1089;153,203;0;GERB--0528_1206_1010;none;202207250000;202207281115;16;100
0090038300_03072022000017;0025767300;;0090038300;383G2B;801427140R;SLI---0601;5;1200;1000;750;427,720;45;GERB--1213_1200_1000;none;202207180000;202207212145;5;100
0090038300_03072022000018;0042259201;;0090038300;383G4P;964006160R;SFD---2112;1;1206;1010;1085;205,550;0;GERB--0528_1206_1010;none;202207190000;202207221200;27;100
0090038300_03072022000019;0042193400;;0090038300;383G4P;963026992R;SFD---2112;1;1206;1010;1085;130,580;0;GERB--0528_1206_1010;none;202207160000;202207201345;5;100
0090038300_03072022000020;0002562805;;0090038300;383G4B;803314014R;SFDA--6932;17;1600;1200;930;210,943;45;GERB--1613_1600_1200;none;202208300000;202209021915;4;100
0090038300_03072022000021;0025868700;;0090038300;383G4C;403000419R;PAL-S-0538;38;1358;1153;1340;432,240;45;GERB--7169_1358_1153;none;202207180000;202207211145;7;100
0090038300_03072022000022;0029328103;;0090038300;383G6A;873206946R;PAL-S-0442;3;1200;980;1090;132,800;0;GERB--4333_1200_980;none;202207180000;202207191600;13;100
0090038300_03072022000023;0041681300;;0090038300;383G4B;175063078R;SFD---0770;3;1200;1000;975;140,000;45;GERB--1213_1200_1000;none;202209020000;202209060001;10;100
0090038300_03072022000024;0025767300;;0090038300;383G2B;751747861R;SLI---0601;5;1200;1000;750;380,344;45;GERB--1213_1200_1000;none;202208020000;202208052145;7;100
0090038300_03072022000025;0003699209;;0090038300;383G4P;165766PB0B;SLI---2112;9;1206;1010;1085;174,230;0;GERB--0528_1206_1010;none;202208250000;202208290915;17;100
0090038300_03072022000026;0027513501;;0090038300;383G4B;828304997R;SFD---2112;1;1206;1010;1181;271,400;0;GERB--0528_1206_1010;none;202208250000;202208291015;17;100
0090038300_03072022000027;0029328103;;0090038300;383G6A;876705530R;PAL-S-0442;1;1200;980;1090;109,600;0;GERB--4333_1200_980;none;202208010000;202208021600;7;100
0090038300_03072022000028;0025929600;;0090038300;383G4P;540106431R;SLI---0770;12;1200;1000;975;421,000;45;GERB--1213_1200_1000;none;202208300000;202209021545;7;2
