Item ident;Supplier code;Supplier dock;Plant code;Plant dock;Product code;Package code;Number of items;Length;Width;Height;Weight;Nesting height;Stackability code;Forced orientation;Earliest arrival time;Latest arrival time;Inventory cost;Max stackability
0090017000_03072022000001;0011129700;;0090017000;G08;805764176R;SLI---2112;1;1206;1010;1185;801,150;0;GERB--0528_1206_1010;none;202207260000;202207291130;9;100
0090017000_03072022000002;0002519301;;0090017000;G01;682702871R;SLI---2112;1;1206;1010;485;49,600;0;GERB--0528_1206_1010;none;202207300000;202208030600;30;100
0090017000_03072022000003;0027593900;;0090017000;G01;215549820R;SLI---0901;5;1600;1200;750;138,624;45;GERB--1613_1600_1200;none;202207210000;202207251740;2;100
0090017000_03072022000004;0011509705;;0090017000;G01;924905458R;SLI---2112;1;1206;1010;785;115,000;0;GERB--0528_1206_1010;none;202208090000;202208121000;56;100
0090017000_03072022000005;0011129200;;0090017000;G08;679004737R;SLI---0770;1;1200;1000;975;139,050;45;GERB--1213_1200_1000;none;202207140000;202207140145;3;100
0090017000_03072022000006;0011129700;;0090017000;G08;755236150R;SLI---0130;6;800;600;560;134,200;42;GERB--0588_800_600;none;202207290000;202208021130;3;100
0090017000_03072022000007;0040944102;;0090017000;V11;823019299R;ECM---5034;1;1200;1000;975;539,775;45;GERB--0061_1200_1000;none;202208020000;202208051630;7;100
0090017000_03072022000008;0000487241;;0090017000;G01;259159390R;ECA---0021;1;1200;1000;1145;195,400;0;GERB--3551_1200_1000;none;202208060000;202208100600;229;100
0090017000_03072022000009;0011129700;;0090017000;G08;781416183R;SLI---0601;1;1200;1000;750;179,000;45;GERB--1213_1200_1000;none;202208110000;202208151130;2;100
0090017000_03072022000010;0002576702;;0090017000;G01;260102357R;SFDA--6773;6;1600;1200;930;196,300;45;GERB--1613_1600_1200;none;202207300000;202208030800;10;100
0090017000_03072022000011;0011129700;;0090017000;G08;781154131R;SLI---0901;4;1600;1200;750;138,408;45;GERB--1613_1600_1200;none;202208250000;202208291130;1;100
0090017000_03072022000012;0040944103;;0090017000;V11;802633649R;SFDA--9322;37;1200;1000;975;232,840;45;GERB--1213_1200_1000;none;202208230000;202208252115;3;100
0090017000_03072022000013;0090016500;1GRA;0090017000;MS7T;320107520R;CFDA--7000;45;2280;1170;670;616,184;45;GERB--2226_2280_1170;none;202208220000;202208250900;41;100
0090017000_03072022000014;0023416200;;0090017000;G08;764108411R;SLI---1200;1;1600;1200;930;844,000;45;GERB--1613_1600_1200;none;202208120000;202208160900;9;100
0090017000_03072022000015;0002567601;;0090017000;G01;214109135R;SLI---0770;4;1200;1000;975;194,700;45;GERB--1213_1200_1000;none;202208100000;202208151000;8;100
0090017000_03072022000016;0011509705;;0090017000;G01;924905458R;SLI---2112;1;1206;1010;485;67,200;0;GERB--0528_1206_1010;none;202208270000;202209011000;28;100
0090017000_03072022000017;0011129700;;0090017000;G08;781415261R;SLI---0770;1;1200;1000;975;183,780;45;GERB--1213_1200_1000;none;202207280000;202208011130;2;100
0090017000_03072022000018;0011577100;;0090017000;V55;256109917R;SLI---2112;1;1206;1010;1085;236,330;0;GERB--0528_1206_1010;none;202209010000;202209050900;10;100
0090017000_03072022000019;0002395801;;0090017000;G01;758921278R;SLI---0770;21;1200;1000;975;218,250;45;GERB--1213_1200_1000;none;202207290000;202208041000;13;100
0090017000_03072022000020;0027477001;;0090017000;G01;825007311R;SLI---2112;12;1206;1010;1085;154,340;0;GERB--0528_1206_1010;none;202208160000;202208190100;12;100
0090017000_03072022000021;0009639101;;0090017000;G01;391002354R;SLI---0770;1;1200;1000;975;492,200;45;GERB--1213_1200_1000;none;202208160000;202208191740;32;2
0090017000_03072022000022;0021798202;;0090017000;G01;460912995R;SLI---2112;6;1206;1010;1085;132,830;0;GERB--0528_1206_1010;none;202208180000;202208220300;8;100
