Item ident;Supplier code;Supplier dock;Plant code;Plant dock;Product code;Package code;Number of items;Length;Width;Height;Weight;Nesting height;Stackability code;Forced orientation;Earliest arrival time;Latest arrival time;Inventory cost;Max stackability
0091017300_03072022000001;0011780500;;0091017300;173GRL;215019512R;SLI---2112;1;1206;1010;1085;180,350;0;GERB--0528_1206_1010;none;202207130000;202207190700;64;100
0091017300_03072022000002;0040317703;;0091017300;173GRL;673516363R;SLI---2112;1;1206;1010;1385;87,560;0;GERB--0528_1206_1010;none;202207200000;202207250600;6;100
0091017300_03072022000003;0027902200;;0091017300;173GRL;497308760R;SLI---2112;1;1206;1010;785;318,950;0;GERB--0528_1206_1010;none;202208310000;202209051600;114;100
0091017300_03072022000004;0011129700;;0091017300;173GRL;752B34342R;SLI---0130;1;800;600;560;94,000;42;GERB--0588_800_600;widthwise;202208240000;202208291300;2;100
0091017300_03072022000005;0023779500;;0091017300;173GRM;200519998R;SLI---2000;1;2400;1200;975;1354,570;45;GERB--0059_2400_1200;widthwise;202207080000;202207131000;20;100
0091017300_03072022000006;0011130703;;0091017300;173GRE;755F87700R;SLI---0601;1;1200;1000;750;364,315;45;GERB--1213_1200_1000;none;202208300000;202209020900;7;100
0091017300_03072022000007;0002807303;;0091017300;173GRL;985153461R;ECM---5594;15;1200;1000;975;307,800;45;GERB--1213_1200_1000;none;202209080000;202209130600;16;100
0091017300_03072022000008;0025104304;;0091017300;173GRE;671209406R;SLI---0901;6;1600;1200;750;359,100;45;GERB--1613_1600_1200;none;202209070000;202209141030;7;100
0091017300_03072022000009;0041223901;;0091017300;173GRL;201204138R;SLI---0770;6;1200;1000;975;242,874;45;GERB--1213_1200_1000;none;202208300000;202209021100;10;100
0091017300_03072022000010;0025104304;;0091017300;173GRE;755105417R;SLI---0760;1;1200;1000;930;261,460;45;GERB--1213_1200_1000;none;202207280000;202208261030;5;100
0091017300_03072022000011;0011129900;;0091017300;173GRL;465013026R;SLI---2112;1;1206;1010;1385;252,040;0;GERB--0528_1206_1010;none;202208260000;202208310800;4;100
0091017300_03072022000012;0011740101;;0091017300;173GRW;849045903R;SLI---0770;2;1200;1000;975;128,200;45;GERB--1213_1200_1000;none;202207280000;202208241330;1;100
0091017300_03072022000013;0002417607;;0091017300;173GRL;562100128R;SLI---0770;1;1200;1000;975;579,240;45;GERB--1213_1200_1000;none;202208250000;202208300600;35;100
0091017300_03072022000014;0025104304;;0091017300;173GRE;751752076R;SLI---0770;3;1200;1000;975;567,000;45;GERB--1213_1200_1000;none;202209050000;202209121400;9;100
0091017300_03072022000015;0090016100;G16;0091017300;173GRL;291A18606R;MFM---1414;9;1200;1000;975;350,920;45;GERB--1213_1200_1000;none;202207280000;202208261330;143;100
0091017300_03072022000016;0024993000;;0091017300;173GRL;237313661R;SLI---2112;1;1206;1010;582;192,600;0;GERB--0528_1206_1010;none;202209090000;202209141100;400;100
0091017300_03072022000017;0011740101;;0091017300;173GRL;748762630R;SLI---2112;2;1206;1010;1085;101,300;0;GERB--0528_1206_1010;none;202207070000;202207121715;5;100
0091017300_03072022000018;0002809409;;0091017300;173GRL;289756794R;SLI---2112;1;1206;1010;1085;105,200;0;GERB--0528_1206_1010;none;202208240000;202208300700;6;100
0091017300_03072022000019;0023779500;;0091017300;173GRM;208606337R;SLI---0770;1;1200;1000;975;589,000;45;GERB--1213_1200_1000;none;202208310000;202209051000;10;100
0091017300_03072022000020;0090015100;G16324;0091017300;173GRL;112106298R;SLI---0770;7;1200;1000;975;320,760;45;GERB--1213_1200_1000;none;202209070000;202209141330;12;100
0091017300_03072022000021;0027752300;;0091017300;173GRL;215014835R;SLI---2112;1;1206;1010;1385;276,600;0;GERB--0528_1206_1010;none;202207110000;202207181300;17;100
0091017300_03072022000022;0002573202;;0091017300;173GRA;765142704R;SLI---1200;6;1600;1200;930;320,497;45;GERB--1613_1600_1200;widthwise;202207290000;202208251130;7;100
0091017300_03072022000023;0025566103;;0091017300;173GRW;320109538R;MFM---1353;14;1350;1200;1200;725,600;37;GERB--1335_1350_1200;none;202208260000;202208310830;98;100
0091017300_03072022000024;0023779500;;0091017300;173GRM;200915627R;SLI---0770;1;1200;1000;975;254,400;45;GERB--1213_1200_1000;none;202208300000;202209021000;6;100
0091017300_03072022000025;0005915200;;0091017300;173GRL;214G69283R;SLI---0770;28;1200;1000;975;130,818;45;GERB--1213_1200_1000;none;202209130000;202209160800;2;100
0091017300_03072022000026;0027562001;;0091017300;173GRL;825021122R;SLI---2112;4;1206;1010;1185;219,300;0;GERB--0528_1206_1010;none;202209060000;202209090830;21;100
0091017300_03072022000027;0025104304;;0091017300;173GRE;751749741R;SLI---0770;4;1200;1000;975;482,700;45;GERB--1213_1200_1000;none;202209120000;202209191400;8;100
0091017300_03072022000028;0000239404;;0091017300;173GRL;806077544R;SLI---2112;1;1206;1010;1385;228,600;0;GERB--0528_1206_1010;none;202207150000;202207201000;18;100
0091017300_03072022000029;0011130700;;0091017300;173GRL;244383364R;SLI---2112;1;1206;1010;385;140,920;0;GERB--0528_1206_1010;none;202208310000;202209071030;154;100
0091017300_03072022000030;0002814600;;0091017300;173GRL;641356222R;SLI---0770;4;1200;1000;975;520,800;45;GERB--1213_1200_1000;none;202209120000;202209151500;11;100
0091017300_03072022000031;0002573206;;0091017300;173GRA;776506489R;SLI---0770;2;1200;1000;975;750,600;45;GERB--1213_1200_1000;none;202207140000;202207191700;15;100
0091017300_03072022000032;0025767300;;0091017300;173GRL;801077781R;SLI---0601;6;1200;1000;750;248,600;45;GERB--1213_1200_1000;none;202207260000;202207280600;3;100
0091017300_03072022000033;0027522803;;0091017300;173GRL;964001360R;SLI---2112;5;1206;1010;1185;220,600;0;GERB--0528_1206_1010;none;202209090000;202209140800;9;100
0091017300_03072022000034;0011129700;;0091017300;173GRL;751E64084R;SLI---0130;1;800;600;560;358,000;42;GERB--0588_800_600;widthwise;202209010000;202209061300;7;100
0091017300_03072022000035;0002884103;;0091017300;173GRL;997507511R;SLI---1200;9;1600;1200;930;169,216;45;GERB--1613_1600_1200;widthwise;202208250000;202208300600;3;100
